brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
boody,"🎊 GIVEAWAY TIME 🎊

Want to WIN the ultimate gift of comfort? 

We’re giving away the bestselling Koala Cushy Sofa and a $500 Boody voucher - perfect for days off between silly season festivities! 🥂

To enter, make sure you’re following @boody and @koala and tag a friend in the comments below! ✨🐨🌱🛋️

*T&Cs apply. AU residents only. Full T&Cs can be found in Koala’s link in bio 

#giveaway #giveaways #sillyseason #giveawaytime #win #comfort #festive #festiveseason #festivevibes",13-12-2024,0,,,0,1347,4445,https://www.instagram.com/p/DDiW1FLheDz/,
boody,"*Add to cart* 🛍️ 

Available in AU/NZ/US ☁️ Other regions coming soon 🌏",12-12-2024,0,,,0,45,5,https://www.instagram.com/p/DDegBxQTX5D/,
boody,"Your comfortable undies just got a bold new makeover 👀 

Available in AU/NZ/US ✨ Other regions coming soon 🌏",11-12-2024,0,,,0,-1,10,https://www.instagram.com/p/DDcDm9LTLRU/,
boody,"Bold enough to stand out, soft enough to stay comfortable ☁️ 

New colour coming soon ✨",10-12-2024,0,,,0,-1,8,https://www.instagram.com/p/DDYyEI0zQ8T/,
boody,"Meet Rust. 

The bold yet versatile shade your top drawer is missing ☁️ 

Available in AU/NZ/US ✨ Other regions coming soon 🌏",10-12-2024,0,,,0,-1,9,https://www.instagram.com/p/DDaqRKSzAkT/,
boody,"RUST. 

Coming soon ☁️",09-12-2024,0,,,0,-1,18,https://www.instagram.com/p/DDWgca2zIt_/,
boody,"Step into comfort, one pair at a time 💚",07-12-2024,0,,,0,-1,25,https://www.instagram.com/p/DDQrlpozXAt/,
boody,Comfy and sustainable essentials for you 💚 @milan__crawford,05-12-2024,0,,,0,-1,0,https://www.instagram.com/p/DDMFh91TLR5/,
boody,FINAL HOURS are on for our BLACK FRIDAY sale 🏃‍♂️ There’s still time to shop 30-80% off sitewide ✨,04-12-2024,1,04-12-2024,80%,1,-1,16,https://www.instagram.com/p/DDJKgu4TuQu/,Black Friday
boody,Aussie summer is here ☀️ Shop 30-80% off our CYBER MONDAY sale for your summer essentials ✨,02-12-2024,1,02-12-2024,80%,0,-1,4,https://www.instagram.com/p/DDEKmdeTgix/,Cyber Monday
