brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
bush tucker blends,"Balanced wholefood nutrition, deep restorative sleep, regular exercise and a connection to something greater than yourself all contribute to vital emotional, physical and spiritual wellbeing 💛

Wise words from @drmarkhyman ✨",12-12-2024,0,,,0,76,1,https://www.instagram.com/p/DDfpMH9zDoQ/,
bush tucker blends,"Each of our blends has been crafted with the highest quality, rare, and potent Australian Native superfoods, proven by third-party lab tests 🙌

With over 200 macro and micro nutrients per serve, across our entire range, each supplement not only meets but exceeds health and wellness standards 🌿

Check out our 25,000+ reviews at 👇
www.bushtuckerblends.com",11-12-2024,0,,,0,3,0,https://www.instagram.com/p/DDbpEVLTYzx/,
bush tucker blends,"It’s not bragging if it’s true 🙌 

Our Cleanse & Digest Bundle has literally changed lives and it’s all thanks to our effective formula using powerful Australian Native ingredients 🌿

Try it for yourself and get 20% off when you subscribe PLUS a Free Banana Biotic 🍌",09-12-2024,0,,,0,10,1,https://www.instagram.com/p/DDWabPpTFDm/,
bush tucker blends,"🤷‍♀️ Anyone else? 

This is not like any other collagen protein -
it’s grass-fed, antibiotic, hormone and glyphosate-free. 

It’s packed with 18 amino acids to help with building blocks for muscle but is nature’s secret to gut repair, tendon repair, ligament repair, glowing skin, luscious hair & strong, healthy nails. 

This is perfect for the entire family, including pregnant and breastfeeding women ✨",06-12-2024,0,,,0,17,5,https://www.instagram.com/p/DDQLIhKT27u/,
bush tucker blends,"Want to save 20% AND get a free gift with every order? Subscribe to a bundle 🙌 

Our blends are designed to work synergistically together and fit effortlessly into your daily routine ✨

Shop bundles and save at 👇
www.bushtuckerblends.com",04-12-2024,0,,,0,15,2,https://www.instagram.com/p/DDJhG4iTKIV/,
bush tucker blends,"The Rest & Digest bundle provides the ultimate opportunity to nourish your nervous system and gut health ✨ 

Try this ‘Nice Cream’ for a delicious sweet treat that not only tastes delicious but is full of goodness 🍫🍨",28-11-2024,0,,,0,54,3,https://www.instagram.com/p/DC7ZZaSTyv1/,
bush tucker blends,"SAVE $$$ on our blends which have been scientifically formulated by our in-house naturopaths, food scientists and nutritionists 🙌 

Made from 100% whole foods with a heavy emphasis on wild-harvested and organic native Australian ingredients 🌿

Shop with 30% off through the link in our bio 💛",22-11-2024,1,22-11-2024,30%,0,12,0,https://www.instagram.com/p/DCqoC8RTI0S/,
bush tucker blends,"SKIN-LOVING GUMMIES

I made these delicious healthy gummies using the You Beauty marine collagen powder from Bush Tucker Blends, paired with organic wild blueberry juice for a powerhouse of antioxidants, vitamin C, gelatin, and collagen - all the nutrients your skin needs to glow! ✨

What I love most is that You Beauty is a wholefood based product with no synthetic ingredients, because food truly is medicine 🌿

This blend, featuring marine collagen peptides from Norway and Australian natives like Kakadu Plum, supports glowing skin, strong hair, healthy nails, and joint health

And the best part? Their Black Friday Sale is live now - grab 30% off for a limited time! 

GUMMIES RECIPE
🫐 1/4 cup grass-fed organic gelatin powder
🫐 1 cup organic wild blueberry juice (or your juice of choice)
🫐 Juice of 1/4–1/2 a lemon
🫐 A dash of organic maple syrup (measure with your heart)
🫐 3 tsp You Beauty powder
🫐 Gummie moulds or a small baking tray

METHOD
1️⃣ Mix the gelatin with a little water to “bloom” and set aside.
2️⃣ Heat the juice, lemon juice, and maple syrup in a saucepan over medium heat, then remove from the stove.
3️⃣ Add the bloomed gelatin to the warm juice mixture and whisk until fully combined.
4️⃣ Stir in the You Beauty powder and mix well.
5️⃣ Pour the mixture into moulds or a tray and refrigerate until set.

Enjoy your skin-loving treats! 💖

#skinhealth #skin #skincare #skincaretips #collagen",20-11-2024,1,20-11-2024,30%,0,-1,3,https://www.instagram.com/p/DClUrrcyKLG/,Black Friday
bush tucker blends,"The products that have helped me survive physical and mental postpartum recovery (TWICE) are 30% off for Black Friday 🗣️🗣️

One day I googled gut health and this company came up first. I knew nothing about gut health but knew mine needed help and my energy, hair, nails, skin, sleep quality and bloating are noticeably better. Plus I can sneak these gut cleansing products into smoothies and cakes suitable for my growing babies 🥹

RUN don’t walk to the link in my bio and enjoy with me THIS AINT A DRILL!

@bushtuckerblends is on sale baby, go go go!

#guthealth ad #postpartumjourney",20-11-2024,1,20-11-2024,30%,0,113,4,https://www.instagram.com/p/DCk04HMhKQl/,Black Friday
bush tucker blends,"A healthy lifestyle requires more than a healthy diet 💛

What else would you add? 👇",15-11-2024,0,,,0,32,0,https://www.instagram.com/p/DCYrrqaMDvw/,
