y,snapshot,event,sitewide,discount
0,20130412075354,,0,
0,20130504110534,,0,
0,20130517082314,,0,
0,20130605055458,,0,
0,20130629124133,,0,
0,20130717120244,,0,
0,20130729140734,,0,
0,20130805104331,,0,
0,20130815044236,,0,
0,20130926132721,,0,
0,20130928015634,,0,
0,20131014151503,,0,
0,20131114060054,,0,
0,20140208033044,,0,
0,20140208063301,,0,
0,20140209201629,,0,
0,20140330032320,,0,
0,20140625044113,,0,
0,20141112212509,,0,
0,20141213023753,,0,
0,20141214015805,,0,
0,20141214151537,,0,
0,20141214171905,,0,
0,20141216001313,,0,
0,20141217040446,,0,
0,20141218011928,,0,
0,20141219121932,,0,
0,20141219140821,,0,
0,20141220013722,,0,
0,20141228064616,,0,
0,20150101023138,,0,
0,20150101185915,,0,
0,20150103083117,,0,
0,20150107125551,,0,
0,20150113175035,,0,
0,20150120033655,,0,
0,20150205231448,,0,
0,20150207005804,,0,
0,20150215051518,,0,
0,20150219004820,,0,
0,20150220133217,,0,
0,20150222084924,,0,
0,20150225212806,,0,
0,20150301102013,,0,
0,20150305001904,,0,
0,20150307123341,,0,
0,20150308214731,,0,
0,20150311200201,,0,
0,20150312195634,,0,
0,20150312213621,,0,
0,20150314220354,,0,
0,20150317073906,,0,
0,20150323045543,,0,
0,20150327054308,,0,
0,20150331123734,,0,
0,20150407050400,,0,
0,20150407063407,,0,
0,20150502204258,,0,
0,20150507144200,,0,
0,20150508122510,,0,
0,20150512042620,,0,
0,20150621220245,,0,
0,20150626020723,,0,
0,20150630015551,,0,
0,20150704042607,,0,
0,20150705165116,,0,
0,20150707235340,,0,
0,20150728065820,,0,
0,20150801025442,,0,
0,20150805091512,,0,
0,20150809144717,,0,
0,20150810174821,,0,
0,20150818123428,,0,
0,20150821084426,,0,
0,20150821233907,,0,
0,20150826062446,,0,
0,20150828195550,,0,
0,20150902030058,,0,
0,20150905013930,,0,
0,20150907054723,,0,
0,20150913081212,,0,
0,20150915110953,,0,
0,20150920095646,,0,
0,20150925081021,,0,
