brand,y,event,sitewide,discount,start_date,end_date,snapshot
Industrie,1,,0,20% off,20/11/2016,20/11/2016,20161120043757
Industrie,1,Boxing Day,0,,12/01/2017,12/01/2017,20170112181307
Industrie,1,Boxing Day,0,,04/02/2017,04/02/2017,20170204195258
Industrie,1,Summer/Winter Sale,0,up to 50% off,04/03/2017,04/03/2017,20170304232355
Industrie,1,,0,30% off,26/06/2019,26/06/2019,20190626140459
Industrie,1,Black Friday,1,,28/11/2020,28/11/2020,20201128201059
Industrie,1,,0,up to 40% off,20/01/2021,20/01/2021,20210120042152
Industrie,1,Outlet,0,up to 60% off,26/01/2021,31/01/2021,20210126090457
Industrie,1,Summer/Winter Sale,0,,27/02/2021,28/02/2021,20210227055051
Industrie,1,Summer/Winter Sale,0,,06/03/2021,06/03/2021,20210306052351
Industrie,1,,0,20% off,15/06/2021,15/06/2021,20210615140056
Industrie,1,,0,20% off,24/06/2021,24/06/2021,20210624110838
Industrie,1,Summer/Winter Sale,0,up to 40% off,27/07/2021,27/07/2021,20210727154822
Industrie,1,Summer/Winter Sale,0,20% off,24/11/2021,24/11/2021,20211124140555
Industrie,1,Summer/Winter Sale,0,,01/12/2021,10/12/2021,20211201040106
Industrie,1,Summer/Winter Sale,0,up to 40% off,10/01/2022,10/01/2022,20220110133539
Industrie,1,Summer/Winter Sale,0,up to 40% off,22/01/2022,26/01/2022,20220122083958
Industrie,1,Summer/Winter Sale,0,20% off,16/02/2022,16/02/2022,20220216081258
Industrie,1,Summer/Winter Sale,0,up to 40% off,01/03/2022,03/03/2022,20220301172653
Industrie,1,Summer/Winter Sale,0,30% off,18/03/2022,20/03/2022,20220318070050
Industrie,1,Summer/Winter Sale,0,,06/04/2022,06/04/2022,20220406215744
Industrie,1,Summer/Winter Sale,0,30% off,30/04/2022,30/04/2022,20220430103620
Industrie,1,Summer/Winter Sale,0,30% off,07/05/2022,07/05/2022,20220507171221
Industrie,1,Summer/Winter Sale,0,30% off,13/06/2022,16/06/2022,20220613034706
Industrie,1,Summer/Winter Sale,0,up to 30% off,26/06/2022,26/06/2022,20220626024005
Industrie,1,Summer/Winter Sale,0,up to 30% off,02/07/2022,02/07/2022,20220702023948
Industrie,1,Summer/Winter Sale,0,up to 30% off,07/07/2022,07/07/2022,20220707115909
Industrie,1,Summer/Winter Sale,0,up to 30% off,12/07/2022,12/07/2022,20220712120651
Industrie,1,Summer/Winter Sale,0,up to 40% off,04/08/2022,04/08/2022,20220804144809
Industrie,1,Summer/Winter Sale,0,20% off,18/08/2022,18/08/2022,20220818142452
Industrie,1,Summer/Winter Sale,0,,04/09/2022,04/09/2022,20220904171501
Industrie,1,Summer/Winter Sale,0,,17/10/2022,25/10/2022,20221017230241
Industrie,1,Summer/Winter Sale,0,,06/11/2022,06/11/2022,20221106183420
Industrie,1,Summer/Winter Sale,0,up to 50% off,29/01/2023,29/01/2023,20230129065116
Industrie,1,Summer/Winter Sale,0,up to 50% off,24/02/2023,25/02/2023,20230224054703
Industrie,1,,0,up to 50% off,28/02/2023,02/03/2023,20230228035312
Industrie,1,,0,20% off,07/03/2023,07/03/2023,20230307124300
Industrie,1,End Of Season,0,up to 40% off,22/08/2023,22/08/2023,20230822090954
Industrie,1,End Of Season,0,up to 40% off,01/09/2023,01/09/2023,20230901231302
Industrie,1,,0,up to 50% off,19/10/2023,19/10/2023,20231019171953
Industrie,1,,0,up to 40% off,25/10/2023,27/10/2023,20231025233124
Industrie,1,,0,20% off,13/11/2023,13/11/2023,20231113114506
Industrie,1,,0,30% off,02/12/2023,02/12/2023,20231202222739
Industrie,1,,0,30% off,09/12/2023,09/12/2023,20231209013744
Industrie,1,,0,up to 40% off,07/03/2024,07/03/2024,20240307191234
Industrie,1,Flash Sale,0,up to 40% off,14/03/2024,14/03/2024,20240314212323
Industrie,1,,0,30% off,15/04/2024,15/04/2024,20240415060506
Industrie,1,,0,30% off,20/05/2024,22/05/2024,20240520035138
Industrie,1,,0,,28/05/2024,28/05/2024,20240528144348
Industrie,1,Flash Sale,0,up to 40% off,15/06/2024,22/06/2024,20240615113356
Industrie,1,,0,up to 40% off,14/07/2024,16/07/2024,20240714063725
Industrie,1,,0,up to 40% off,22/07/2024,22/07/2024,20240722180548
Industrie,1,,0,up to 40% off,07/08/2024,13/08/2024,20240807213653
Industrie,1,,0,up to 40% off,23/08/2024,23/08/2024,20240823082402
Industrie,1,,0,up to 40% off,01/09/2024,01/09/2024,20240901085638
Industrie,1,,0,20% off,08/09/2024,15/09/2024,20240908233632
Industrie,1,,0,20% off,22/09/2024,24/09/2024,20240922011621
Industrie,1,,0,30% off,03/10/2024,04/10/2024,20241003194624
Industrie,1,,0,30% off,14/10/2024,14/10/2024,20241014084152
Industrie,1,,0,30% off,13/11/2024,13/11/2024,20241113070848
Industrie,1,Cyber Monday,1,up to 50% off,01/12/2024,01/12/2024,20241201205750
Industrie,1,,0,50% off,16/12/2024,21/12/2024,20241216133444
