y,snapshot,event,sitewide,discount
1,20141206173218,,1,10% off
1,20141221025826,,1,10% off
1,20141223005802,,1,10% off
1,20141225014539,,1,10% off
1,20150602034639,Eofy,0,25% off
1,20160623092427,Eofy,1,15% off
1,20180630033746,End Of Financial Year,0,up to 20% off
1,20211207093712,,0,
1,20240614211244,Eofy,1,up to 40% off
1,20240618060714,Eofy,1,up to 40% off
1,20240814152050,,1,20% off
1,20241123021509,Black Friday,1,20% off
1,20241201041648,Black Friday,1,20% off
1,20241201044255,Black Friday,1,20% off
