y,snapshot,event,sitewide,discount
0,20140103091040,,0,
0,20140111012145,,0,
0,20140112185924,,0,
0,20140113211515,,0,
0,20140115002401,,0,
0,20140126013321,,0,
0,20140208065837,,0,
0,20140210142359,,0,
0,20140327025644,,0,
0,20140328143925,,0,
0,20140421003357,,0,
0,20140529141028,,0,
0,20140626114226,,0,
0,20140704031300,,0,
0,20140705050406,,0,
0,20140730160109,,0,
1,20140827153116,Summer/Winter Sale,0,
0,20141111131202,,0,
0,20141209052004,,0,
0,20141218163206,,0,
0,20141219183916,,0,
0,20150105144207,,0,
0,20150108163812,,0,
0,20150111084001,,0,
0,20150112095026,,0,
0,20150113204244,,0,
0,20150118084628,,0,
0,20150119085803,,0,
0,20150119234452,,0,
0,20150205230708,,0,
0,20150206234847,,0,
0,20150215020045,,0,
0,20150223045931,,0,
0,20150227213547,,0,
0,20150315032216,,0,
0,20150321014512,,0,
0,20150407233509,,0,
0,20150419120818,,0,
0,20150504003348,,0,
0,20150520165611,,0,
0,20150607071628,,0,
0,20150612155654,,0,
0,20150616205448,,0,
0,20150625050902,,0,
0,20150717184958,,0,
0,20150808025209,,0,
0,20150821043213,,0,
0,20150914160611,,0,
0,20150915015845,,0,
0,20151008014012,,0,
0,20151011175614,,0,
0,20151101130356,,0,
0,20151107134521,,0,
0,20151121060513,,0,
0,20151123122627,,0,
0,20151205144347,,0,
0,20151207130921,,0,
0,20151208041559,,0,
0,20151221155555,,0,
0,20160108202653,,0,
0,20160109075414,,0,
0,20160110045647,,0,
0,20160127033907,,0,
0,20160129184910,,0,
0,20160224131945,,0,
0,20160224133655,,0,
0,20160224145300,,0,
0,20160224181150,,0,
0,20160229151020,,0,
0,20160301172958,,0,
0,20160310003156,,0,
0,20160314223052,,0,
0,20160318154943,,0,
0,20160410134735,,0,
0,20160507005921,,0,
0,20160530133342,,0,
0,20160607192836,,0,
0,20160620224350,,0,
0,20160622023408,,0,
0,20160710105702,,0,
0,20160725053529,,0,
0,20160728033650,,0,
0,20160807042936,,0,
0,20160819232425,,0,
0,20160828215656,,0,
0,20160901221705,,0,
0,20160913213519,,0,
0,20160926121940,,0,
0,20160930110123,,0,
0,20161001134944,,0,
0,20161002132240,,0,
0,20161010101655,,0,
0,20161011095850,,0,
0,20161024014652,,0,
0,20161027074737,,0,
0,20161112131427,,0,
0,20161119101827,,0,
0,20161128111247,,0,
0,20170121164412,,0,
0,20170125052714,,0,
0,20170128023144,,0,
0,20170204205530,,0,
0,20170219012127,,0,
0,20170305142733,,0,
0,20170407203031,,0,
0,20170426212328,,0,
0,20170602230231,,0,
0,20170603211456,,0,
0,20171014130854,,0,
0,20180131142911,,0,
0,20180219122016,,0,
0,20180224062104,,0,
0,20180226121737,,0,
0,20180311172000,,0,
0,20180314140418,,0,
0,20180315164917,,0,
0,20180322115547,,0,
0,20180329214827,,0,
0,20180405172143,,0,
0,20180414134332,,0,
0,20180419184435,,0,
0,20180426172949,,0,
0,20180503234422,,0,
0,20180510123213,,0,
0,20180512013858,,0,
0,20180517190040,,0,
0,20180518050546,,0,
0,20180519014535,,0,
0,20180525214314,,0,
0,20180526041132,,0,
0,20180531102119,,0,
0,20180601215905,,0,
0,20180602024205,,0,
0,20180607105047,,0,
