y,snapshot,event,sitewide,discount
0,20160130222325,,0,
0,20160301133500,,0,
0,20160311083114,,0,
0,20160320064949,,0,
0,20160328003432,,0,
0,20160412205553,,0,
0,20160419143402,,0,
0,20160513222935,,0,
0,20160520153238,,0,
0,20160613204004,,0,
0,20160620165831,,0,
0,20160714191941,,0,
0,20160723062233,,0,
0,20160724150131,,0,
0,20160815173101,,0,
0,20160824185326,,0,
0,20160916010853,,0,
0,20160925112944,,0,
0,20161017062651,,0,
0,20161027094456,,0,
0,20161117120409,,0,
0,20161127020045,,0,
0,20161130061641,,0,
0,20170116120116,,0,
0,20170205004114,,0,
0,20170221181959,,0,
0,20170426104747,,0,
0,20170429041426,,0,
0,20170507113527,,0,
0,20170607071052,,0,
0,20170610041203,,0,
0,20170611151738,,0,
0,20170710203615,,0,
0,20170716162042,,0,
0,20170811000110,,0,
0,20170816123937,,0,
0,20170909132652,,0,
0,20170911115925,,0,
0,20170914024501,,0,
0,20170928190122,,0,
0,20171027233807,,0,
0,20180226172951,,0,
0,20180319020803,,0,
0,20180401030822,,0,
0,20180414163221,,0,
0,20180814053521,,0,
0,20181020223157,,0,
1,20181128060120,Cyber Monday,1,up to 30% off
0,20190113162754,,0,
0,20190310134046,,0,
0,20190329010319,,0,
0,20190914031102,,0,
0,20191019022856,,0,
0,20191211201046,,0,
0,20191222000302,,0,
0,20191222034654,,0,
0,20191225223048,,0,
0,20191225223835,,0,
0,20200108233028,,0,
0,20200302024708,,0,
0,20200317144757,,0,
0,20200329160556,,0,
0,20200408122524,,0,
0,20200420145654,,0,
0,20200803170619,,0,
0,20201027225744,,0,
0,20201126143130,,0,
0,20210120121049,,0,
0,20210225134450,,0,
0,20210304145409,,0,
0,20210306140654,,0,
0,20210506050019,,0,
0,20210529024238,,0,
0,20210724232822,,0,
0,20210731014519,,0,
0,20210831112148,,0,
0,20211018095254,,0,
0,20211202091406,,0,
0,20211203061830,,0,
0,20220128045032,,0,
0,20220303220409,,0,
0,20220310081739,,0,
0,20220315203113,,0,
0,20220331042455,,0,
0,20220423225731,,0,
0,20220709002400,,0,
0,20221008022841,,0,
0,20221018090808,,0,
0,20221021140614,,0,
0,20221027071638,,0,
0,20230110224749,,0,
0,20230110224850,,0,
0,20230224120634,,0,
0,20230302093641,,0,
0,20230327062648,,0,
0,20231004102545,,0,
0,20231020084340,,0,
0,20231027205303,,0,
0,20231115033940,,0,
0,20240308163839,,0,
0,20240315193430,,0,
0,20240319195819,,0,
0,20240319200614,,0,
0,20240320055337,,0,
0,20240420025523,,0,
0,20240518193718,,0,
0,20240518194922,,0,
0,20240518195146,,0,
0,20240518235253,,0,
0,20240518235338,,0,
0,20240519063437,,0,
0,20240519063541,,0,
0,20240613155756,,0,
0,20240717231032,,0,
0,20240717231143,,0,
0,20240717231249,,0,
0,20240718061456,,0,
0,20240723195443,,0,
0,20240725041320,,0,
0,20240725041322,,0,
0,20240725041323,,0,
0,20240806033400,,0,
0,20240905043615,,0,
0,20240913171031,,0,
0,20240915164414,,0,
1,20241004095014,Summer/Winter Sale,0,
1,20241014110947,Summer/Winter Sale,0,
0,20241106224832,,0,
1,20241130112057,Black Friday,1,up to 60% off
0,20241220062641,,0,
0,20241227170130,,0,
