y,snapshot,event,sitewide,discount
1,20200502070539,Black Friday,1,
1,20200813083624,Black Friday,1,
1,20200918105134,Black Friday,1,
1,20200924143226,Black Friday,1,
1,20200925224346,Black Friday,1,
1,20200930044842,Black Friday,1,
1,20201001144714,Black Friday,1,
1,20201020121443,Black Friday,1,
1,20201020210338,Black Friday,1,
1,20201030155033,Black Friday,1,
1,20201031212055,Black Friday,1,
1,20201101001742,Black Friday,1,
1,20201101065952,Black Friday,1,
1,20201108113750,Black Friday,1,
1,20201109025346,Black Friday,1,
1,20201111145407,Black Friday,1,
1,20201112001329,Black Friday,1,
1,20201112020700,Black Friday,1,
1,20201112042358,Black Friday,1,
1,20201114055950,Black Friday,1,
1,20201117050107,Black Friday,1,
1,20201203074451,Black Friday,1,
1,20201204101514,Black Friday,1,
1,20201204173211,Black Friday,1,
1,20201225053455,Black Friday,1,
1,20210101060156,Black Friday,1,
1,20210102230130,Black Friday,1,
1,20210118014244,Black Friday,1,
1,20210118175000,Black Friday,1,
1,20210118180052,Black Friday,1,
1,20210118181017,Black Friday,1,
1,20210118181146,Black Friday,1,
1,20210118183205,Black Friday,1,
1,20210118185314,Black Friday,1,
1,20210118190930,Black Friday,1,
1,20210118192533,Black Friday,1,
1,20210118192910,Black Friday,1,
1,20210118194106,Black Friday,1,
1,20210118194912,Black Friday,1,
1,20210118195155,Black Friday,1,
1,20210118195302,Black Friday,1,
1,20210118195357,Black Friday,1,
1,20210118200820,Black Friday,1,
1,20210118201158,Black Friday,1,
1,20210118201201,Black Friday,1,
1,20210118201225,Black Friday,1,
1,20210118201230,Black Friday,1,
1,20210118201727,Black Friday,1,
1,20210118202117,Black Friday,1,
1,20210123094948,Black Friday,1,
1,20210129231444,Black Friday,1,
1,20210212030925,Black Friday,1,
1,20210219020111,Black Friday,1,
1,20210305101618,Black Friday,1,
1,20210311064159,Black Friday,1,
1,20210411052038,Black Friday,1,
1,20210414222747,Black Friday,1,
1,20210421095953,Black Friday,1,
1,20210504005848,Black Friday,1,
1,20210509205833,Black Friday,1,
1,20210511161724,Black Friday,1,
1,20210613022709,Black Friday,1,
1,20210615065025,Black Friday,1,
1,20210616085112,Black Friday,1,
1,20210802091758,Black Friday,1,up to 80% off
1,20210802203739,Black Friday,1,up to 80% off
1,20210803063011,Black Friday,1,up to 80% off
1,20210803152540,Black Friday,1,up to 80% off
