brand,y,event,sitewide,discount,start_date,end_date,snapshot
VPA,1,Black Friday,1,,02/05/2020,02/05/2020,20200502070539
VPA,1,Black Friday,1,,13/08/2020,13/08/2020,20200813083624
VPA,1,Black Friday,1,,18/09/2020,18/09/2020,20200918105134
VPA,1,Black Friday,1,,24/09/2020,01/10/2020,20200924143226
VPA,1,Black Friday,1,,20/10/2020,20/10/2020,20201020121443
VPA,1,Black Friday,1,,30/10/2020,01/11/2020,20201030155033
VPA,1,Black Friday,1,,08/11/2020,17/11/2020,20201108113750
VPA,1,Black Friday,1,,03/12/2020,04/12/2020,20201203074451
VPA,1,Black Friday,1,,25/12/2020,25/12/2020,20201225053455
VPA,1,Black Friday,1,,01/01/2021,02/01/2021,20210101060156
VPA,1,Black Friday,1,,18/01/2021,23/01/2021,20210118014244
VPA,1,Black Friday,1,,29/01/2021,29/01/2021,20210129231444
VPA,1,Black Friday,1,,12/02/2021,12/02/2021,20210212030925
VPA,1,Black Friday,1,,19/02/2021,19/02/2021,20210219020111
VPA,1,Black Friday,1,,05/03/2021,05/03/2021,20210305101618
VPA,1,Black Friday,1,,11/03/2021,11/03/2021,20210311064159
VPA,1,Black Friday,1,,11/04/2021,14/04/2021,20210411052038
VPA,1,Black Friday,1,,21/04/2021,21/04/2021,20210421095953
VPA,1,Black Friday,1,,04/05/2021,04/05/2021,20210504005848
VPA,1,Black Friday,1,,09/05/2021,11/05/2021,20210509205833
VPA,1,Black Friday,1,,13/06/2021,16/06/2021,20210613022709
VPA,1,Black Friday,1,up to 80% off,02/08/2021,03/08/2021,20210802091758
VPA,1,Black Friday,1,up to 80% off,11/09/2021,11/09/2021,20210911040117
VPA,1,Black Friday,1,80% off,20/09/2021,20/09/2021,20210920002045
VPA,1,Black Friday,1,80% off,22/10/2021,27/10/2021,20211022033915
VPA,1,Black Friday,1,80% off,30/11/2021,30/11/2021,20211130135358
VPA,1,Black Friday,1,80% off,05/12/2021,05/12/2021,20211205194915
VPA,1,Black Friday,1,80% off,14/12/2021,14/12/2021,20211214101212
VPA,1,Black Friday,1,80% off,24/12/2021,29/12/2021,20211224032916
VPA,1,Black Friday,1,80% off,23/01/2022,23/01/2022,20220123123007
VPA,1,Black Friday,1,80% off,05/03/2022,07/03/2022,20220305111815
VPA,1,Black Friday,1,80% off,14/03/2022,21/03/2022,20220314201115
VPA,1,Black Friday,1,80% off,01/04/2022,04/04/2022,20220401022051
VPA,1,Black Friday,1,80% off,12/06/2022,12/06/2022,20220612021411
VPA,1,Black Friday,1,80% off,27/06/2022,30/06/2022,20220627115354
VPA,1,Black Friday,1,80% off,08/07/2022,08/07/2022,20220708064430
VPA,1,Black Friday,1,80% off,11/08/2022,11/08/2022,20220811092120
VPA,1,Black Friday,1,80% off,19/08/2022,19/08/2022,20220819053356
VPA,1,Black Friday,1,80% off,10/09/2022,10/09/2022,20220910051413
VPA,1,Black Friday,1,80% off,16/10/2022,28/10/2022,20221016013315
VPA,1,Black Friday,1,80% off,06/11/2022,06/11/2022,20221106163451
VPA,1,Black Friday,1,80% off,20/01/2023,20/01/2023,20230120053201
VPA,1,Black Friday,1,up to 80% off,17/02/2023,17/02/2023,20230217140021
VPA,1,Black Friday,1,up to 80% off,03/03/2023,03/03/2023,20230303201244
VPA,1,Black Friday,1,up to 80% off,24/03/2023,24/03/2023,20230324102939
VPA,1,Black Friday,1,up to 80% off,08/05/2023,11/05/2023,20230508012732
VPA,1,Black Friday,1,up to 80% off,25/05/2023,25/05/2023,20230525045812
VPA,1,Black Friday,1,up to 80% off,23/09/2023,23/09/2023,20230923150348
VPA,1,Black Friday,1,up to 80% off,07/10/2023,07/10/2023,20231007170526
VPA,1,Black Friday,1,up to 80% off,13/10/2023,13/10/2023,20231013193554
VPA,1,Black Friday,1,up to 80% off,21/10/2023,28/10/2023,20231021034321
VPA,1,Black Friday,1,up to 80% off,04/11/2023,04/11/2023,20231104203148
VPA,1,Black Friday,1,up to 80% off,13/11/2023,13/11/2023,20231113103804
VPA,1,Black Friday,1,up to 80% off,26/11/2023,26/11/2023,20231126003920
VPA,1,Black Friday,1,up to 80% off,02/12/2023,12/12/2023,20231202215716
VPA,1,Black Friday,1,up to 80% off,31/12/2023,02/01/2024,20231231033017
VPA,1,Black Friday,1,up to 80% off,08/01/2024,08/01/2024,20240108014719
VPA,1,Black Friday,1,up to 80% off,14/01/2024,14/01/2024,20240114054621
VPA,1,Black Friday,1,up to 80% off,19/02/2024,21/02/2024,20240219065500
VPA,1,Black Friday,1,up to 80% off,01/03/2024,03/03/2024,20240301233812
VPA,1,Black Friday,1,up to 80% off,10/03/2024,10/03/2024,20240310024759
VPA,1,Black Friday,1,up to 80% off,17/03/2024,17/03/2024,20240317194758
VPA,1,Black Friday,1,up to 80% off,15/04/2024,15/04/2024,20240415023645
VPA,1,Black Friday,1,,23/04/2024,26/04/2024,20240423050357
VPA,1,Black Friday,1,,04/05/2024,11/05/2024,20240504225154
VPA,1,Black Friday,1,,17/05/2024,24/05/2024,20240517162058
VPA,1,Black Friday,1,,01/06/2024,01/06/2024,20240601145458
VPA,1,Black Friday,1,,07/06/2024,07/06/2024,20240607114053
VPA,1,Black Friday,1,,23/06/2024,23/06/2024,20240623211247
VPA,1,Black Friday,1,,08/07/2024,08/07/2024,20240708004445
