y,snapshot,event,sitewide,discount
1,20200128020415,Blackout,0,
0,20200326064836,,0,
0,20200402151401,,0,
0,20200513114327,,0,
0,20200514001122,,0,
0,20200527160333,,0,
0,20200531132337,,0,
1,20200619232112,,0,30% off
0,20200722100841,,0,
0,20200722100845,,0,
1,20200821095636,,1,25% off
0,20200830103207,,0,
0,20200917030910,,0,
0,20200921164604,,0,
0,20200926185203,,0,
0,20200927194444,,0,
0,20200927234310,,0,
0,20200929093541,,0,
0,20201013110413,,0,
0,20201120065022,,0,
0,20201121072655,,0,
0,20201122080535,,0,
0,20201123094001,,0,
1,20201125110235,,1,30% off
1,20201125165251,,1,30% off
1,20201126163418,,1,30% off
1,20201127183042,,1,30% off
1,20201128220123,,1,30% off
1,20201129155659,,1,30% off
1,20201129212414,,1,30% off
0,20201130221909,,0,
0,20201202000123,,0,
0,20201203013414,,0,
0,20201204022907,,0,
0,20201225063348,,0,
1,20201226074025,,1,25% off
1,20201227080757,,1,25% off
1,20201228090905,,1,25% off
0,20201229103620,,0,
0,20201230113245,,0,
0,20201231120024,,0,
0,20210101122121,,0,
0,20210102135759,,0,
0,20210103144605,,0,
0,20210104151121,,0,
0,20210119082530,,0,
0,20210120094928,,0,
0,20210122011007,,0,
0,20210126154233,,0,
0,20210130175516,,0,
0,20210213041835,,0,
0,20210214102009,,0,
0,20210215102659,,0,
0,20210216115003,,0,
0,20210217125257,,0,
0,20210218131748,,0,
0,20210219142456,,0,
0,20210220212452,,0,
0,20210221222424,,0,
0,20210223001017,,0,
0,20210224014530,,0,
0,20210226024241,,0,
0,20210305231510,,0,
0,20210312012131,,0,
1,20210318181523,,1,25% off
0,20210319193403,,0,
0,20210322080030,,0,
0,20210322134307,,0,
0,20210323094748,,0,
0,20210324093458,,0,
0,20210325115242,,0,
0,20210325222609,,0,
0,20210327001058,,0,
0,20210328004406,,0,
0,20210329012038,,0,
0,20210330032418,,0,
0,20210331035726,,0,
0,20210525030322,,0,
0,20210609171612,,0,
0,20210629023024,,0,
0,20210629155154,,0,
0,20210724211321,,0,
0,20210806145019,,0,
0,20210812081620,,0,
0,20210903223942,,0,
0,20210909044338,,0,
0,20211002092724,,0,
0,20211011113541,,0,
0,20211025084902,,0,
0,20211025204305,,0,
0,20211102102803,,0,
0,20211107100520,,0,
1,20211109001548,,1,25% off
0,20211116140926,,0,
0,20211118183607,,0,
0,20211118190059,,0,
1,20211227010626,,1,25% off
0,20220121153913,,0,
0,20220131161143,,0,
1,20220216105059,,0,up to 60% off
1,20220221045655,,0,up to 60% off
1,20220228235923,,0,30% off
1,20220302192400,,0,up to 60% off
