brand,y,event,sitewide,discount,start_date,end_date,snapshot
White Fox,1,Blackout,0,,28/01/2020,28/01/2020,20200128020415
White Fox,1,,0,30% off,19/06/2020,19/06/2020,20200619232112
White Fox,1,,1,25% off,21/08/2020,21/08/2020,20200821095636
White Fox,1,,1,30% off,25/11/2020,29/11/2020,20201125110235
White Fox,1,,1,25% off,26/12/2020,28/12/2020,20201226074025
White Fox,1,,1,25% off,18/03/2021,18/03/2021,20210318181523
White Fox,1,,1,25% off,09/11/2021,09/11/2021,20211109001548
White Fox,1,,1,25% off,27/12/2021,27/12/2021,20211227010626
White Fox,1,,0,up to 60% off,16/02/2022,21/02/2022,20220216105059
White Fox,1,,0,30% off,28/02/2022,07/03/2022,20220228235923
White Fox,1,,0,up to 60% off,14/03/2022,14/03/2022,20220314041915
White Fox,1,,0,up to 60% off,21/03/2022,21/03/2022,20220321141133
White Fox,1,,0,up to 80% off,10/04/2022,10/04/2022,20220410202748
White Fox,1,,0,up to 70% off,03/05/2022,03/05/2022,20220503135113
White Fox,1,,0,up to 70% off,11/05/2022,11/05/2022,20220511174856
White Fox,1,,0,up to 70% off,18/05/2022,18/05/2022,20220518035325
White Fox,1,,0,up to 70% off,18/06/2022,18/06/2022,20220618010109
White Fox,1,,1,up to 70% off,27/06/2022,29/06/2022,20220627025535
White Fox,1,,0,up to 70% off,08/07/2022,12/07/2022,20220708003920
White Fox,1,,0,up to 70% off,03/08/2022,03/08/2022,20220803084637
White Fox,1,,1,,22/11/2022,22/11/2022,20221122053400
White Fox,1,,1,30% off,15/08/2024,15/08/2024,20240815125752
