brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
bared footwear,"A step above ... Our brand new Stone Blue Suede Loafer Tahkae will serenade every outfit you wear this season. 🩵

#baredsummer",16-12-2024,0,,,0,19,0,https://www.instagram.com/p/DDp2LgUsZfL/,
bared footwear,"Warm weather and sharp looks call for our Twinspot. 🖤

#baredsummer",16-12-2024,0,,,0,48,3,https://www.instagram.com/p/DDoN8DdP0P_/,
bared footwear,"Which Bared girl are you? 1, 2, 3, or 4? 

#baredfootwear",15-12-2024,0,,,0,192,10,https://www.instagram.com/p/DDlyFcFP1TM/,
bared footwear,"Meet Carib. From the crimped edge piping to its embossed accents, what’s not to love? 🤍

#baredfootwear",14-12-2024,0,,,0,707,0,https://www.instagram.com/p/DDjLNQSusgp/,
bared footwear,"It's official! 🌴 The doors are open at our first ever Gold Coast store in Pac Fair. Join us in store this weekend to shop 15% off storewide. 

PLUS we're treating all first 50 customers each day to special door prizes including FREE shoes and BIG discounts. 

Gold Coast, we are so happy to be here. We can't wait to meet you!

@pacificfair  #baredfootwear",14-12-2024,1,14-12-2024,15%,0,1253,36,https://www.instagram.com/p/DDi6CowsP08/,
bared footwear,"Tell me about it, stud. 🪩 Style queen @hollyleeboorman in our Silver Whydah. 

#baredfootwear",14-12-2024,0,,,0,113,1,https://www.instagram.com/p/DDkrWHnNiTu/,
bared footwear,"Nightingale 👏 is 👏 back 👏 After months of “when is it returning?” - this boot is officially back in stock! And she’s more coveted than ever. We’d recommend acting fast if you want her to be yours.

#baredfootwear",13-12-2024,0,,,0,120,2,https://www.instagram.com/p/DDgmYsBv5j1/,
bared footwear,"Visiting @baredfootwear ‘s new store in Pacific Fair🤍 #baredfootwear #inbared 
- #ad #partnership #pacificfair #footwear #elegantshoes #heels #boots #hannahmchutchison #reels #explore #explorepage",13-12-2024,0,,,0,-1,171,https://www.instagram.com/p/DDiQpZPzi62/,
bared footwear,"This time last year I was limping, asking my friends to walk slower, freaking myself out by reading webMD, and crying in my kitchen thinking I would never walk right again, never chase kids, never run a race, never not feel the constant pain in my foot. 

I feel really proud of the routine and PT with @mpgonewellness that has led me to be able to do the show without feeling like I needed to stand on one foot the whole time. 

I am finally wearing real shoes again and I had forgotten how much fun it is. I discovered @baredfootwear for press events and I’m never going back.",12-12-2024,0,,,0,13888,221,https://www.instagram.com/p/DDfyhEutLfd/,
bared footwear,"Where are you wearing your Bared these holidays? 

We caught up with a few of our team members to find out how they’re planning to celebrate in the lead-up to the end of the year — and, of course, how they’ll be styling their favourite Bared shoes for every occasion.

#baredfootwear",12-12-2024,0,,,0,145,0,https://www.instagram.com/p/DDeWo0yvUc_/,
bared footwear,Doors are officially open at our first ever Gold Coast store in Pac Fair! Come on down this Saturday and Sunday for 15% off store-wide. PLUS lucky dip prizes this weekend for the first 50 customers through the door each day including FREE shoes + BIG discounts.,12-12-2024,1,12-12-2024,15%,0,1433,41,https://www.instagram.com/p/DDd2OG8v-TP/,
bared footwear,"Step into summer with Sanderlings by Bared Footwear- the ultimate sandal staple for the warmer months, perfect for any occasion. 

To celebrate, Bared has a special treat to help you step out in style for less - head to their website to learn more 🐚",11-12-2024,0,,,0,535,33,https://www.instagram.com/p/DDbirL0ykjW/,
bared footwear,"Those fresh LA feels in our Surfbird Mesh with @karinaenever 💋 Shop our limited edition Lipstick Red range today. 

#baredfootwear",10-12-2024,0,,,0,2112,12,https://www.instagram.com/p/DDaYmxUphZK/,
bared footwear,"COMP NOW CLOSED! 🌟 Congrats to our lucky winners. Please DM us to claim you and your besties prize!
@emmhawthorne
@vanessaa_ss
@saaraa.s
@graciefong_
@_sionnan

—

WIN! The rumours are true. Christmas has come early with the opening of iconic Melbourne footwear brand Bared launching their flagship store in Pac Fair this weekend. To celebrate, we’re giving 5 people the chance to win a pair of shoes for you and your Bestie. Simply
1. Tag them in the comments
2. Both Follow https://www.instagram.com/baredfootwear/ + https://www.instagram.com/pacificfair/
Comp closes Sunday 15 Dec, winners announced Monday 16 Dec. T&C’s apply.",10-12-2024,0,,,0,3095,2093,https://www.instagram.com/p/DDY0eBfPz77/,
bared footwear,"All new. All red. All for you. It's time to fall in lust ... 💋 Our new limited edition Lipstick Red range has arrived. 

#baredsummer",09-12-2024,0,,,0,1729,17,https://www.instagram.com/p/DDWNRIySq-m/,
bared footwear,"Are you seeing red? ❤️ Swipe through to see how we're styling our latest limited edition range >>

#baredsummer",09-12-2024,0,,,0,354,16,https://www.instagram.com/p/DDXyN46J_48/,
bared footwear,"This isn’t just a statement, it’s an obsession … ♥️ Get ready to stop traffic in the main character of the season. Coming soon. 

#baredfootwear",08-12-2024,0,,,0,279,9,https://www.instagram.com/p/DDTtTTnPUIb/,
bared footwear,"A very important FYI for all the elves in our feed ... 🎄

#baredfootwear",07-12-2024,0,,,0,58,0,https://www.instagram.com/p/DDQj3YpKhwp/,
bared footwear,"Evenings on the ocean rocks in our Silver Partridge feel like a breeze. 🌊 

#baredsummer",07-12-2024,0,,,0,1452,3,https://www.instagram.com/p/DDRKOTRPIOe/,
bared footwear,"You’re either in Bared loafers or you’re catching FOMO. 

#lifeinbared",07-12-2024,0,,,0,131,4,https://www.instagram.com/p/DDStLyYPsFU/,
bared footwear,"You asked, we answered. Our Finchbill in Gold and Tan is back. This style doesn’t just complete the outfit - it starts a conversation. 🐚

#baredsummer",06-12-2024,0,,,0,885,5,https://www.instagram.com/p/DDQGGa_v0WP/,
bared footwear,"Our exquisite Honeyguide in Terracotta is giving us all the feels for that weekend summer energy. 🫶🏼

#baredsummer",06-12-2024,0,,,0,1290,4,https://www.instagram.com/p/DDOJioWSsK_/,
bared footwear,"Give a gift that keeps on giving ... 100% of profits made from our socks are donated to support @thehungerprojectau  in Malawi, a global initiative dedicated to ending hunger and poverty.

Join us in making a difference this festive season.

#baredfootwear",06-12-2024,0,,,0,119,8,https://www.instagram.com/p/DDOex_gCnoZ/,
bared footwear,"Are you ready to get in the festive spirit? It’s time to treat yourself and someone else. Buy any 2, save 20% off Sanderlings. 

T&C’s apply. Offer ends 16 Dec. 

#baredfootwear",05-12-2024,1,05-12-2024,20%,0,104,2,https://www.instagram.com/p/DDL9FbHvyVr/,
bared footwear,"Clay suede for every day? Say less ... Our Amakihi sneakers are the perfect complement to Australia's coastline. Pair them with everything this summer - from tailored shorts to relaxed denim looks. 

#baredsummer",04-12-2024,0,,,0,899,2,https://www.instagram.com/p/DDJU8wTs4Z-/,
bared footwear,"The perfect plus one is here! From office soirées to cocktail parties, we’ve got the festive shoe for every occasion. Pop the champagne and let’s get started. #baredfootwear",03-12-2024,0,,,0,223,4,https://www.instagram.com/p/DDG3UdHvKhZ/,
bared footwear,"Each year, the average Australian household produces around 540kgs of waste. ♻️ Here’s what we’re doing about it at Bared with the help of @recyclesmartaus … 

#baredfootwear",03-12-2024,0,,,0,352,18,https://www.instagram.com/p/DDIU8zFv5Id/,
bared footwear,"If you're looking for the epitome of effortless summer dressing, then it's time to embrace our Junco woven slides. 🖤

#baredsummer",02-12-2024,0,,,0,1139,3,https://www.instagram.com/p/DDEK6ClCfi_/,
bared footwear,"We’re very ready to go from the beach in our Lari’s to the bar in our Sunbeam with @sarahlamkin_ . ☀️ Who’s joining? 

#baredsummer",02-12-2024,0,,,0,253,1,https://www.instagram.com/p/DDFuYcOP_YR/,
bared footwear,"Get excited. Summer is here. So, we’re soaking it up with some sweet scenes from our SS24 campaign. 〰️

#baredsummer",01-12-2024,0,,,0,273,4,https://www.instagram.com/p/DDBft73vqGH/,
bared footwear,"If anyone needs us, we’ll be doing Saturday night in Tokyo with @kyleecampbell and our Hylia Boots. 🖤

#baredfootwear",30-11-2024,0,,,0,96,3,https://www.instagram.com/p/DC_CcXMvV0G/,
bared footwear,"It’s officially summer! To celebrate the *hottest* season in town, we’ve curated some of our favourite ways to style sandals. >>

#baredsummer",30-11-2024,0,,,0,165,2,https://www.instagram.com/p/DDAqel-vmuO/,
bared footwear,"PSA: Our Lari Sandal is back in stock. 👌🏼 This comfy, chunky, charming style won't stay on our shelves for long. Don't say we didn't warn you ...

#baredsummer",29-11-2024,0,,,0,828,2,https://www.instagram.com/p/DC-GRImKOx6/,
bared footwear,"Choose your vibe ... Like 🩵 for Coua Monk. Comment 🖤 for Tachuri Boot. 

#baredfootwear",29-11-2024,0,,,0,757,4,https://www.instagram.com/p/DC8cbFAh6no/,
bared footwear,"Earthy tones, sky-high glamour. 🤎 Our Ratite in Walnut has arrived and it's ready for you to make your move. 

#baredsummer",28-11-2024,0,,,0,1045,3,https://www.instagram.com/p/DC53n-vMny9/,
bared footwear,"Cruising into the weekend in our fave flat ... The Woven Surfbird. 🌊 

#baredsummer",28-11-2024,0,,,0,981,7,https://www.instagram.com/p/DC7fEhFOlre/,
bared footwear,"If you’re in NYC, don’t miss this iconic in-store Bared Black Friday sale! 

#baredfootwear",27-11-2024,1,27-11-2024,,0,833,8,https://www.instagram.com/p/DC4DfyXv_Cy/,Black Friday
bared footwear,"Coffee stop in @baredfootwear , they’re having a Black Friday Sale with 15% off storewide exclusively in their Auckland store this Friday and Saturday 🖤 #partner",27-11-2024,1,27-11-2024,15%,0,-1,12,https://www.instagram.com/p/DC3RjgtTSpc/,Black Friday
bared footwear,"If you're seeking minimal effort with maximum attitude this summer, then look no further than style icon @emmgurr in our Bitterns. 🖤

#baredsummer",26-11-2024,0,,,0,1362,8,https://www.instagram.com/p/DC0zwaUsgf_/,
bared footwear,"The fresh and festive details of our Firecrown 2 in silver make it the perfect flat for ever celebratory moment. 🪩

#baredfootwear",25-11-2024,0,,,0,1307,6,https://www.instagram.com/p/DCzvFGGqQ40/,
bared footwear,"Want to take the loafer trend to the next level? 🖤 With its gold chain and chunky sole, our Elaenia is the perfect contender for this fashion moment.

#baredfootwear",25-11-2024,0,,,0,915,4,https://www.instagram.com/p/DCyXAjUM7Ed/,
bared footwear,"It’s boppy. It’s summer. It’s Bared. 🖤

#baredsummer",24-11-2024,0,,,0,343,2,https://www.instagram.com/p/DCvkeq3PA3x/,
bared footwear,"Lusting after some sandals to take you from beach to bistro? Look no further than our silver Akialoa. 🩶

#baredsummer",23-11-2024,0,,,0,822,5,https://www.instagram.com/p/DCs8NrvC4tL/,
bared footwear,"This summer weather can be sneaky business ... Be ready for anything and everything in some of our iconic sneaker styles. 🩵

#baredsummer",23-11-2024,0,,,0,760,3,https://www.instagram.com/p/DCuotZAq9xn/,
bared footwear,"Our Sunbeam is the quintessential flat of the season. Dress up, dress down … And then adventure to every seaside town. 

#baredsummer",22-11-2024,0,,,0,299,0,https://www.instagram.com/p/DCsDoqnv1Xd/,
