brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
the jojoba co,"Stay hydrated with our Jojoba Duo—you’ll receive one 30ml Australian Jojoba and a FREE Jojoba Lip Balm! 💛✨

#SmarterNaturalSkincare #jojoba #lipbalm",13-12-2024,0,,,0,19,2,https://www.instagram.com/p/DDiGpzLuxL3/,
the jojoba co,"A bathroom staple you’ll never want to be without 💛

#SmarterNaturalSkincare #jojoba",12-12-2024,0,,,0,18,1,https://www.instagram.com/p/DDfh3_7Oylm/,
the jojoba co,"GIVEAWAY 1️⃣1️⃣

We've partnered with @lunalux.com.au to give FIVE lucky winners a Silk Sleep Eye Mask, plus the Transformative Eye Serum from The Jojoba Company, both valued at $114.95! 😴

The prize includes:⁠ 
- 1x Grey 100% Pure Mulberry Silk Sleep Eye Mask Infused with Hyaluronic Acid and Argan Oil
- 1x Transformative Eye Serum 15ml

To enter:⁠ ⁠ ⁠ 
��1. Follow @thejojobaco & @lunalux.com.au
��2. Like this post
3. Tag a friend in the comments - each tag equals one entry

Full T&Cs: link in bio
All giveaways will run until 12/12 11:59pm and winners will be announced on stories and contacted via DM on 13/12 by @thejojobaco.",11-12-2024,0,,,0,82,187,https://www.instagram.com/p/DDazFi_hiRj/,
the jojoba co,"GIVEAWAY 1️⃣2️⃣
 
Left your holiday shopping to the last minute? Don’t worry—we’ve got you covered! To celebrate the final day of our 12 Days of Giveaways, we’re giving ONE lucky winner ALL of our Holiday Sets, valued at an incredible $417.76! 🤩
 
The prize includes:
- 1x The Jojoba Duo Holiday Set
- 1x The Golden Duo Holiday Set
- 1x Double Hydration Holiday Set
- 1x Cleanse. Plump. Hydrate. Holiday Set
- 1x AM/PM Firm & Glow Holiday Set
- 1x Firm. Hydrate. Glow. Holiday Set
 
1. Follow @thejojobaco
2. Like this post
3. Tag a friend in the comments - each tag equals one entry
 
Full T&Cs: link in bio
All giveaways will run until 12/12 11:59pm and winners will be announced on stories and contacted via DM on 13/12 by @thejojobaco.",11-12-2024,0,,,0,155,335,https://www.instagram.com/p/DDdDqCOTuT5/,
the jojoba co,"GIVEAWAY 1️⃣0️⃣

To keep your body and skin hydrated, we’re giving you the chance to WIN the Essential Pro Nourishing Regimen, plus a Blush Pink Jojoba Company x Frank Green Water Bottle, all valued at $238.70! 

The prize includes:⁠
- 1x The Jojoba Company x Frank Green Water Bottle
- 1x Jojoba Bead Cleanser 125ml
- 1x Jojoba Water Toning Mist 50ml
- 1x Probiotic Jojoba Milk 30ml
- 1x Hydrating Peptide Day Cream 50ml
- 1x Overnight Multi-biotic Moisture Cream 50ml

To enter:⁠ ⁠ ⁠ 
1. Follow @thejojobaco 
2. ��Like this post
3. Tag a friend in the comments - each tag equals one entry

Full T&Cs: link in bio
All giveaways will run until 12/12 11:59pm and winners will be announced on stories and contacted via DM on 13/12 by @thejojobaco.",10-12-2024,0,,,0,142,340,https://www.instagram.com/p/DDYOY6Cplnm/,
the jojoba co,"Discover the ultimate skincare trio for fresh, smooth skin 🤍

This set has everything you need to keep your glow going strong!

#SmarterNaturalSkincare #jojoba #cleanser",09-12-2024,0,,,0,24,3,https://www.instagram.com/p/DDXy074xnlj/,
the jojoba co,"GIVEAWAY 9️⃣

We’ve partnered with @eco_intimates to give away a $130 Gift Card, plus another $130 Gift Card for The Jojoba Company, all valued at $260! 🌿

The prize includes:⁠ 
- 1x $130 Online Gift Voucher for Eco Intimates
- 1x $130 Online Gift Voucher for The Jojoba Company

To enter:⁠ ⁠ ⁠ 
1. Follow @thejojobaco & @eco_intimates
2. Like this post
3. Tag a friend in the comments - each tag equals one entry

Full T&Cs: link in bio
All giveaways will run until 12/12 11:59pm and winners will be announced on stories and contacted via DM on 13/12 by @thejojobaco.",09-12-2024,0,,,0,85,176,https://www.instagram.com/p/DDVsK8dzmHJ/,
the jojoba co,"GIVEAWAY 8️⃣

Calling all skincare besties, we’re giving you and the bestie you tag the chance to WIN a Personalised Skincare Regimen from The Jojoba Company, valued at $200 each! ✨

The prize includes:⁠ 
- 1x Personalised Skincare Regimen
- 1x Personalised Skincare Regimen

To enter:⁠ ⁠ ⁠ 
1. Follow @thejojobaco 
��2. Like this post
3. Tag a friend in the comments - each tag equals one entry

Full T&Cs: link in bio
All giveaways will run until 12/12 11:59pm and winners will be announced on stories and contacted via DM on 13/12 by @thejojobaco.",08-12-2024,0,,,0,143,279,https://www.instagram.com/p/DDTEwj6vKkn/,
the jojoba co,"GIVEAWAY 7️⃣

To hydrate your skin and soul, we’re giving you the chance to WIN the Double Hydration Holiday Set plus an Australian House & Garden Mug Set, all valued at $74.93! ☕️

The prize includes:⁠ 
- 1x  Esperance Wiped Edge Mugs
- 1x Pure Jojoba Gel Mask 50ml
- 1x Australian Jojoba 15ml

To enter:⁠ ⁠ ⁠ 
1. Follow @thejojobaco 
��2. Like this post
3. Tag a friend in the comments - each tag equals one entry

Full T&Cs: link in bio
All giveaways will run until 12/12 11:59pm and winners will be announced on stories and contacted via DM on 13/12 by @thejojobaco.",07-12-2024,0,,,0,141,269,https://www.instagram.com/p/DDQf8_npZ9a/,
the jojoba co,"That Jojoba feeling! ☺️

Australian Jojoba is the perfect after-sun remedy - soothing, hydrating, and 100% pure 💛

#SmarterNatureSkincare #summerskincare",06-12-2024,0,,,0,43,5,https://www.instagram.com/p/DDQFA1vNTlR/,
the jojoba co,"GIVEAWAY 6️⃣

Attention all age-defiers, we’re giving you the chance to WIN the Firm. Hydrate. Glow. Holiday Set from The Jojoba Company, valued at $164.85! ✨

The prize includes:⁠ 
- 1x Ultimate Serum 30ml
- 1x Vitamin C Glow Potion 30ml
- 1x Ultimate Youth Potion 30ml

To enter:⁠ ⁠ ⁠ 
��1. Follow @thejojobaco 
2. Like this post
3. Tag a friend in the comments - each tag equals one entry

Full T&Cs: link in bio
All giveaways will run until 12/12 11:59pm and winners will be announced on stories and contacted via DM on 13/12 by @thejojobaco.",06-12-2024,0,,,0,160,329,https://www.instagram.com/p/DDN7Hm5KdT-/,
the jojoba co,"GIVEAWAY 5️⃣

We've partnered with @lindt_au to give away a LARGE Cheesecake & White Chocolate Lindor Ball Hamper, plus a Personalised Skincare Regimen from The Jojoba Company, all valued at $640! 💛

The prize includes:⁠ 
- 1x Cheesecake & White Chocolate Lindor Ball 5kg Hamper
- 1x Personalised Skincare Regimen 

To enter:⁠ ⁠ ⁠ 
1. Follow @thejojobaco & @lindt_au
��2. Like this post
3. Tag a friend in the comments - each tag equals one entry

Full T&Cs: link in bio
All giveaways will run until 12/12 11:59pm and winners will be announced on stories and contacted via DM on 13/12 by @thejojobaco.",05-12-2024,0,,,0,197,417,https://www.instagram.com/p/DDLWT5wq_BZ/,
