brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
nuebar,"If there’s no soap in our Shampoo, what Naturopath selected ingredients do we use to clean your hair?
•
Ghassoul clay helps to draw out dirt and impurities whilst ethically sourced Extra Virgin Coconut Oil from the Solomon Islands and Fairtrade Organic Cacao Butter provide rich moisture. This beautiful bar is finished with a light scenting of essential oils of Pink Grapefruit and Orange.",11-12-2024,0,,,0,3,0,https://www.instagram.com/p/DDbdrEwTMI3/,
nuebar,"🌟🌟🌟🌟🌟
‘Great Products! Love using the shampoo, conditioner & face wash’
~Maria, via TrustPilot",08-12-2024,0,,,0,2,0,https://www.instagram.com/p/DDTjqjET3g3/,
nuebar,"Wondering what to do with those last little bits of your NueBar?
🌱
Enter the bits bags! Not only do they ensure you are getting the most out of your bars, but they are also washable and fully compostable.
🌱
Because you know we really are committed to ensuring we step as lightly as possible on the earth with our beautiful brand. 💚
#compostable #plasticfree #plasticfreeliving #eco #consciousliving #consciouslifestyle #plantbasedhaircare #veganhealth #veganhaircare #veganhairproducts #plasticfree #curlygirl #curlygirlmethod #saveourplanet #saveouroceans #wastefree",04-12-2024,0,,,0,4,0,https://www.instagram.com/p/DDJT-HkTBWb/,
nuebar,"🌟🌟🌟🌟🌟
‘Cannot recommend this brand highly enough! I love these products and have never turned back since being introduced to them eight years ago. Initially attracted to the brand through my quest to eliminate unnecessary plastic packaging from my life, I also love that I am no longer putting similar nasties on my hair and skin. They leave my hair feeling silky, soft and full of body and not needed another wash for up to a week. I used to have to wash my hair daily but no more!
🌱
#shampoobar #plasticfree #ditchplastic #ditchtheplastic #nomorebottles #lawson #springwood #katoomba #bluemountainsbusiness",03-12-2024,0,,,0,4,0,https://www.instagram.com/p/DDGrW4uzWiO/,
nuebar,"Not sure which NueBar to try? Try them ALL!
•
We’ve bundled our entire Hair collection into one big bundle of mini sample bars especially for you to try. L
•
Great for big families who with different hair types and super handy to have on standby for those who have lots of guests to stay over.
•
#naturalhaircare #lowtoxliving #beauty #naturalbeauty #naturopathy #cleanliving #lowtoxgifts",01-12-2024,0,,,0,5,0,https://www.instagram.com/p/DDBO_dFTOyM/,
nuebar,"Are you looking to gift low tox goodness?
🌱
The everyday bundle is designed for those with a low maintenance hair and skin routine in mind. 
🌱 Shampoo Normal Hair. Leaves hair delightfully soft and clean.
🌱 Conditioner for all types is designed to smooth and detangle
🌱 Finally, our Award Winning Normal Skin face wash with Organic Coconut oil and Ghassoul clay to deep cleanse completes your face and hair care routine.
🌱
Of course if your loved one has curly, oily hair or sensitive skin, there’s a bundle for them also!",29-11-2024,0,,,0,4,0,https://www.instagram.com/p/DC8pJrizQgK/,
nuebar,"Let’s talk about water. But not the water in your shower or your daily intake, we’re talking about the water that they put into liquid shampoo... up to 70% of it, diluting your shampoo and that’s before you turn on your shower.
🌱
We admit it, some people have suggested NueBar bars are expensive and they may look that way at first....but if we were to tell you that one shampoo bar is the equivalent of 3 average bottles of liquid shampoo, what would you think then?
🌱
Concentrated bars, undiluted with water, means concentrated product for your hair.
🌱
Because we think that there’s enough water in your shower to lather your shampoo, that is why we concentrate on formulating all the Nourishing goodness we possibly can, in one concentrated bar, delivered to you consciously, without the plastic bottle.
🌱 #plasticfree #thetruthaboutshampoo #shampoobar #ecoliving #lowtoxliving #ditchthebottle",28-11-2024,0,,,0,5,0,https://www.instagram.com/p/DC53vRnzQPC/,
nuebar,"🌟🌟🌟🌟🌟
‘The fragrance free products are excellent! I am very sensitive to fragrance, and these shampoo and conditioner bars are great, as in I don’t get sick from chemical smell. They keep my hair and scalp clean, shiny, moisturised, easy to manage. Delivery packaging all recyclable. Highly recommended.’
~ Joy, via TrustPilot
🌱
#fragrancefree #fragrancefreeskincare #allergies #sensitive #sensitiveskin #sensitiveskincare",27-11-2024,0,,,0,2,0,https://www.instagram.com/p/DC3POF3xaSF/,
nuebar,"One of our favourite ingredients in the Oily Face bar is Neem oil.
🌱
Derived from the seeds of the neem tree, this wonder ingredient has been used in traditional medicine for various skin conditions, including acne, due to its antimicrobial, anti-inflammatory, and antioxidant properties. Neem oil contains compounds such as azadirachtin, nimbin, and nimbidin, which have strong antibacterial properties which help to balance acne-causing bacteria on the skin.
🌱
The anti-inflammatory properties contained in Neem oil can also help reduce redness, swelling, and irritation associated with acne. Inflammation is a key factor in the development and exacerbation of acne lesions. Finally, Neem oil can also be helpful with regulating sebum (oil) production, which is a common factor in the development of acne as it prevents pores from becoming clogged, reducing the likelihood of acne formation.
🌱
#neemoil #facewash #lowtoxliving #oilyskin #acne #blemishfree",24-11-2024,0,,,0,3,0,https://www.instagram.com/p/DCv4hujzems/,
nuebar,"What are Parabens and why should you avoid them?
🌱
Parabens are a preservative of sorts, synthetic chemicals designed to make the shelf life of hair and skin care products longer, especially those containing water (hello bottled shampoo and conditioner).
🌱
Scientific studies have raised concerns that parabens are not only responsible for some skin irritations (especially on sensitive skin), but that prolonged exposure through skin absorption, can disrupt hormones, particularly in adolescent girls and women, effecting fertility and reproductive organs, birth outcomes and even increase the risk of cancer.
🌱
In fact, new scientific data has confirmed that parabens can spur the growth of certain types of breast cancer cells.
🌱
With NueBar being a Naturopath formulated concentrated bar (rather than liquid), we have been able to do away with Parabens. In fact, your wellbeing is our priority in the formulation of our products, which is why we choose to hand pour our products, rather than machine make for mass production.
🌱
We like to call it ‘slow-made’, because we know slow and considered is better for you and better for our beautiful Mother Earth.
🌱
#naturalliving #lowtoxliving #lowtoxlife #noparabens #parabenfree #parabenfreeskincare #naturallifestyle #parabenfreeskincare #naturopathy",22-11-2024,0,,,0,4,0,https://www.instagram.com/p/DCqcutvzj9x/,
