brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
vpa,"🌟 FUN FACT FRIDAY 🌟⁠
⁠
Did you know that ALL of VPA’s product packaging is 100% recyclable? ♻️✨⁠
⁠
That’s right—fuel your fitness goals and help protect the planet at the same time! 🌍💪",13-12-2024,0,,,0,14,1,https://www.instagram.com/p/DDf5xUxs5pF/,
vpa,"WINTER WONDERLAND ON THE WATER 🌊❄️

Saturday night was nothing short of legendary aboard Yacht Capri, sailing the Brisbane River! Our Fam hasn’t been throwing around statements like “Party of the Year!” for nothing… here’s why! 🛥️✨ 

Big love to @ram__media for capturing all the unforgettable moments. 🎥

We came together to celebrate our incredible partners, ambassadors, athletes, loyal customers, and the amazing VPA community. ❤️

The VPA Fam knows how to party, and this night was proof of just how special this family is.

Here’s to an amazing 2024 and even bigger adventures in 2025! 🥂 Let’s keep making waves. 🌊",13-12-2024,0,,,0,54,20,https://www.instagram.com/p/DDgDS9oPfV7/,
vpa,"☕️ Craving Coffee with a Protein Boost? 💪 @pap.fitness has the perfect fix!⁠
⁠
Try her Mocha Protein Shake—a creamy, energizing treat! 😍⁠
⁠
All you need:⁠
🍫 VPA Dark Choc WPI⁠
☕ Espresso⁠
🥛 Your favorite milk⁠
⁠
Quick, delicious, and packed with protein! 💥",12-12-2024,0,,,0,42,3,https://www.instagram.com/p/DDdRi1biL9B/,
vpa,"🎉 12 Days of Christmas – Day 5! 🎁⁠
Today’s festive delight is just a swipe away! 🎅⁠
⁠",12-12-2024,0,,,0,4,0,https://www.instagram.com/p/DDfofe_MBrb/,
vpa,"Caramel Biscuit is quickly becoming a crowd favorite! 🍪✨⁠
⁠
Have you given it a try yet? Click the link in our bio and see why everyone’s raving about it! 😍",11-12-2024,0,,,0,12,1,https://www.instagram.com/p/DDbc0d_tFB5/,
vpa,"❄️ 12 Days of Christmas – Day 4! 🎁⁠
⁠
A festive surprise awaits! Swipe to discover today’s gift! 🎉",11-12-2024,0,,,0,7,0,https://www.instagram.com/p/DDdD1kiTyqy/,
vpa,"This past Saturday at the VPA Winter Wonderland on the Water Christmas Party, we had the privilege of recognising some truly outstanding contributions. We’re so excited to share these moments with you! 🎉⁠
⁠
We’re incredibly grateful for the support and dedication of the entire VPA community in 2024! 🙏⁠
⁠
A huge shoutout to this year’s award recipients:⁠
⁠
🏆 Ambassador of the Year: @lauren.mfit⁠
🏆 Sporting Partner of the Year: @northsdevilsrlfc⁠
🏆 Brand Partner of the Year: @lskd⁠
🏆 Community Person of the Year: @summer_watson⁠
🏆 Wholesaler of the Year: @muscle_hut_sc⁠
⁠
Thank you to every member of the VPA family for making this year unforgettable! 💥 Let’s keep pushing toward greatness together in 2025! 🙌",10-12-2024,0,,,0,64,8,https://www.instagram.com/p/DDYhh9csPf7/,
vpa,"🎅 12 Days of Christmas – Day 3 🎁⁠
⁠
Todays deal is a sleigh! Swipe to unwrap today's special offer! 🌟",10-12-2024,1,10-12-2024,,0,11,0,https://www.instagram.com/p/DDafDF5v775/,
vpa,"The VPA fam sure knows how to party! 🎉⁠
⁠
Still reminiscing about our unforgettable night at Winter Wonderland on the Water… official event vid dropping soon! 🌟 Stay tuned!",10-12-2024,0,,,0,82,10,https://www.instagram.com/p/DDY_Sr-tgMR/,
vpa,"🎄✨ THANK YOU ✨🎄⁠
⁠
To everyone who joined us for the 2024 VPA Christmas Party – Winter Wonderland on the Water aboard Yot Capri, you made it an unforgettable night! 🌟🚤⁠
⁠
Sailing across the beautiful Brisbane River, surrounded by sparkling city lights, we were treated to breathtaking fireworks and the magical glow of the Christmas light show. It was truly a night to remember! 🎆🎅✨⁠
⁠
A heartfelt shoutout to our incredible ambassadors, loyal community, and supportive sporting partners—your presence made this celebration even more special. 💙⁠
⁠
Here’s to the magic we created together and the exciting journey ahead in 2025! 🥂🌟",09-12-2024,0,,,0,180,58,https://www.instagram.com/p/DDWP7TyMN-Z/,
vpa,"🎅 12 Days of Christmas – Day 2! 🎁⁠
⁠
The magic continues! Swipe to unwrap today's special offer! 🌟

Orders over $120 will be randomly selected",09-12-2024,1,09-12-2024,,0,25,4,https://www.instagram.com/p/DDX6rq0Jwlz/,
vpa,"🎄 12 Days of Christmas – Day 1! 🎁⁠
⁠
Swipe to uncover today’s festive surprise! ✨",08-12-2024,0,,,0,23,1,https://www.instagram.com/p/DDVVqhzv27c/,
vpa,"🎄✨ IT'S FINALLY HERE! ✨🎄⁠
⁠
The 12 Days of Christmas kicks off TOMORROW, and here's all the merry details you need to know:⁠
⁠
🎁 12 Days. 12 Deals. Each day brings new surprises, including amazing freebies, festive gifts, and exciting giveaways!⁠
⁠
🎅 Don't miss a single moment! Follow us on social media over the next 12 days to unwrap these holiday treats.⁠
⁠
Let the festive fun begin! 🎉🎄",08-12-2024,1,08-12-2024,,0,35,6,https://www.instagram.com/p/DDTvAFEIiT_/,
vpa,"Fun Fact Friday!⁠
⁠
Did you know VPA proudly supplies over 1,000 stockists across Australia?⁠
⁠
Our reach extends globally, with stockists in New Zealand, the United States, and Papua New Guinea!⁠
⁠
Interested in becoming a VPA stockist? Visit our Linktree to submit your application, and a member of our team will be in touch!",06-12-2024,0,,,0,18,1,https://www.instagram.com/p/DDOjrxmMMQj/,
vpa,"Rest, recover, repeat. 🌙✨ ⁠
⁠
ZMA6 Recovery is packed with bioavailable Zinc, Magnesium, Ashwagandha, L-Tryptophan, and Vitamin B6 to support deep recovery. 💪 Plus, we've added Collagen Hydrolysate and L-Glutamine for next-level benefits.⁠
⁠
Spend $120 and snag yours FREE today! 🛒💥 Hurry! This offer only lasts 48 hours!⁠
⁠",06-12-2024,0,,,0,19,0,https://www.instagram.com/p/DDN0xGwMwOm/,
vpa,"The PERFECT weekend Breakfast 😍 PROTEIN FRENCH TOAST⁠
⁠
Follow @eats.with.t for more high-protein and delicious recipes! ⁠
⁠
492 calories (serves 1)⁠
45g P l 52g C l 10g F⁠
⁠
TOAST -⁠
3 slices of sourdough bread⁠
1 whole egg & 1 egg white⁠
Splash of milk⁠
Vanilla essence⁠
Cinnamon⁠
⁠
RICOTTA WHIP -⁠
100g light ricotta⁠
20g @vpa_australia WPI birthday cake flavour 🍰⁠
⁠
METHOD -⁠
🍓 Whisk together egg, milk, cinnamon & vanilla essence. Once well combined, add in the sourdough, and let the bread soak up the mixture for about 10 seconds on each side.⁠
🫐 On medium heat, cook the sourdough for about 3 minutes, or until golden brown, then turn over and cook on the other side. Repeat.⁠
🍓While cooking, mix ricotta cheese & protein powder in a small bowl and set aside.⁠
🫐 Top with berries, ricotta & maple syrup.⁠
⁠
*you can use Country Split bread for a lower-carb alternative.⁠
* if you don’t like ricotta and still want to hit your protein, you can add protein powder to the French toast mixture⁠
⁠
Enjoy 🤤🤤",06-12-2024,0,,,0,30,1,https://www.instagram.com/p/DDQKHU2JWgv/,
vpa,"Back and Shoulder Day Powered Up! 💪⁠
⁠
Fueled by Gold Coast Stim in the  Blue Razzleberry flavor and Creatine! 🫐⚡⁠
⁠
Here’s what @lauren.mfit crushed (not all captured on film):⁠
🔥 Chest-Supported Front Raises⁠
🔥 Seated Rows⁠
🔥 Shoulder Presses⁠
🔥 Side Raises⁠
🔥 Rear Delt Flys⁠
🔥 Hammer Curls⁠
⁠
Swing by Lauren's page and smash that follow button for even more epic workouts! 🏋️‍♀️",05-12-2024,0,,,0,25,3,https://www.instagram.com/p/DDMAHo4NmHf/,
vpa,#VPAWRAPPED2024,04-12-2024,0,,,0,122,21,https://www.instagram.com/p/DDLPAcutZz1/,
vpa,"Looking for the perfect mid-week sweet treat? Look no further!⁠
⁠
APRICOT BLISS BALLS 🧡 by @eats.with.t⁠
⁠
It is the perfect little sweet snack with only 7 ingredients and is SUPER simple to make. Using our local sunnidais granola, these balls are PACKED full of the good stuff 😋⁠
⁠
159 calories per ball - 8g P I 16g C I 5g F⁠
⁠
INGREDIENTS⁠
30g @sunnidais_by_kylie granola⁠
40g @vpa_australia caramel white milk WPI⁠
60g sun-dried apricots⁠
60g / 3 medijool dates (pitted & soaked)⁠
8g desiccated coconut⁠
10g peanut butter⁠
30g oats⁠
⁠
METHOD⁠
🧡add 3 medjool dates to a bowl, cover with bowling water and let them soak for about 5 minutes/until soft.⁠
🧡add all ingredients to a food processor and blitz until well combined.⁠
🧡 divide mixture into 6 and roll into balls.⁠
🧡optional (but highly recommended) - drizzle with some melted caramilk chocolate 🤤🤤",04-12-2024,0,,,0,20,2,https://www.instagram.com/p/DDJc9INscOV/,
vpa,"Sunday = meal prep today and @danica.dedic as per has you covered! 💅⁠
⁠
Make sure you go and give Danica a follow for more delicious recipes!⁠
⁠
Raspberry & White Choc Baked Oats 🍫⁠
⁠
Per Serve: 497 calories - 32g protein - 13g fat - 60g carbs - 11g fibre⁠
⁠
INGREDIENTS:⁠
- 70g Banana, Mashed⁠
- 50g Rolled Oats⁠
- 10g Black Chia Seeds⁠
- 100ml Lite Milk⁠
- 20g VPA Vanilla Whey⁠
- 1/4 Tsp Baking Powder⁠
- 50g Frozen Raspberries⁠
- 10g White Choc Chips⁠
⁠
METHOD:⁠
Preheat oven to 180 degrees. Combine all ingredients in an oven-safe dish. Bake for 30 minutes or until golden and cooked through.⁠
�NOTE: This recipe makes one serve - I did mine in individual containers and added the individual ingredients to each container. IF you want to make one batch, just multiply the ingredients - usually 4 x is for a baking dish tray size.⁠
⁠
#oats #oatmeal #bakedoats #breakfast #breakfastideas #breakfastrecipes #highprotein #highproteinbreakfast #mealprep #mealplan #easyrecipes #highfiber⁠",30-11-2024,0,,,0,88,1,https://www.instagram.com/p/DDAvIEkxTqf/,
vpa,"🚀 Pre-Workout ASMR 💪⁠
⁠
What are your go-to pre-workout supplements? Here’s what @reesewillder swears by:⁠
⁠
✨ Creatine: Power up your strength and build muscle with unstoppable energy.⁠
⚡ Preworkout: Level up your focus, energy, and performance for every workout.⁠
💧 Electrolytes: Stay hydrated and recover faster with essential mineral replenishment.⁠
⁠
🔥 Our Black Friday Sale is still live, enjoy 10% off site-wide + free gifts and be entered into our BF giveaway when you spend $120 —don’t miss out on stocking up your pre-workout essentials! 🏋️‍♂️✨",28-11-2024,1,28-11-2024,10%,0,28,2,https://www.instagram.com/p/DC6FW0cIPZn/,Black Friday
vpa,"🍫💪 Need to stock up on protein but can’t decide on a flavor?⁠
⁠
Take it from Sean, one of our happy customers! He's a big fan of our Dark Choc and Caramel Biscuit protein. 😍✨⁠
⁠
🔥 P.S. Our Black Friday Sale is still live—don’t miss out on snagging your favorite products at unbeatable prices! 🛍️💥",28-11-2024,1,28-11-2024,,0,7,0,https://www.instagram.com/p/DC5R2VDtPRY/,Black Friday
vpa,10 of the best from VPA X Locked In Run Clubs Movember Fun Run 💚,27-11-2024,0,,,0,101,5,https://www.instagram.com/p/DC2ppkeNxTt/,
vpa,"OUR COMMUNITY MADE IT ICONIC 💅

Massive shoutout to everyone who showed up and showed out at the fun run! 🏃‍♂️🔥 You brought the vibes, the energy, and the heart. Together, we made a real impact for Movember and men’s health. 💙

Peep the highlights captured by @ram__media! ✨

Special mention once again to our event partners who add so much value to these events!
@recoverylab.alderley 
@lskd @lskd.hq
@redbullau
@gymbod_official
@gathering_events

So much love for the VPA Fam 💚",25-11-2024,0,,,0,92,19,https://www.instagram.com/p/DCyTA_7Pxml/,
vpa,"Does anyone know what’s up with all the VPA caps in Southbank?!

We are still buzzing from the weekend! Offical event recap and video dropping tonight 💥 In the meantime event pics are up - head to the link in bio to check them out 💚",25-11-2024,0,,,0,56,2,https://www.instagram.com/p/DCyCNruPuCF/,
