brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
wot not naturals,"Sun's out, fun's about! ☀️ Ready to jump in with our Wotnot's natural sunscreen by his side—SPF 30+ protection for all-day play! 🏖️ Safe, gentle, and perfect for little adventurers. 🌿💦",16-12-2024,0,,,0,1,1,https://www.instagram.com/p/DDpnQWAv3ZN/,
wot not naturals,"Give your little one the gentle care they deserve 🌿 Our baby range is crafted with natural, toxin-free ingredients to protect and nourish delicate skin, without the harsh chemicals or synthetic fragrances. Because baby’s skin is precious — let’s keep it pure and safe from the start. 💕",14-12-2024,0,,,0,3,1,https://www.instagram.com/p/DDkdnl_pT9i/,
wot not naturals,"Flawless skin, no filter needed ✨ Our BB Cream effortlessly evens out skin tone, blurs blemishes, and gives you a radiant, natural glow — all while protecting with SPF 40 and an anti-aging serum. Because great skin should look as good as it feels! 💖 #NoMakeupMakeup #FlawlessSkin #SPF40 #AntiAging",13-12-2024,0,,,0,8,1,https://www.instagram.com/p/DDh_qZ2srs4/,
wot not naturals,"After a long day, it’s time to reset and recharge. ✨ Removing makeup with our gentle Sensitive Face Wipes—no harsh chemicals, just pure, soothing care for my skin. Ready to rest and wake up refreshed. 🌙💖",12-12-2024,0,,,0,5,3,https://www.instagram.com/p/DDd1aqDpa1m/,
wot not naturals,Nothing makes us happier than hearing your thoughts! 💕 So glad Wotnot could be gentle and safe for this mama and her preemie. Thanks for the love and the review! 🍼,12-12-2024,0,,,0,3,1,https://www.instagram.com/p/DDfT_p1z93m/,
wot not naturals,"Achieve flawless, glowing skin with our best-selling BB Cream! ✨

✔️ Full coverage, matte finish
✔️ SPF 40 & natural anti-aging benefits
✔️ With hydrating aloe vera & nourishing jojoba oil

Perfect for a natural, even tone with all-day protection! 🌿💖",10-12-2024,0,,,0,15,3,https://www.instagram.com/p/DDaRaiWv4wE/,
wot not naturals,"The best travel buddy to keep you and your family protected, no matter where you go. Safe, gentle, and perfect for on-the-go. ✈️🌿",09-12-2024,0,,,0,6,1,https://www.instagram.com/p/DDXsoSwTOcE/,
wot not naturals,"Nothing beats knowing the products we use on our baby girl are as gentle as can be. 💕 With no harsh chemicals or anything harmful, Wotnot gives me peace of mind every time. So grateful to have a brand that truly cares about her delicate skin. 🌿 Save up to 38% when you subscribe!",08-12-2024,0,,,0,7,1,https://www.instagram.com/p/DDVHvBZChwe/,
wot not naturals,"Soft, gentle, and made with love! 💕 Our Wotnot Baby Bubble Wash & Shampoo are perfect for even the most sensitive skin. Free from harsh chemicals, they keep your little one’s skin and hair feeling fresh and nourished. 🛁✨ #GentleCare #SensitiveSkinApproved #WotnotBaby",07-12-2024,0,,,0,7,1,https://www.instagram.com/p/DDSpwARTn41/,
wot not naturals,"We just got our Wotnot parcel and we couldn’t be more excited! 🎉 Can’t wait to try everything—especially the baby sunscreen (it’s the only one my little one actually lets me apply!) and the BB cream I’ve been waiting for. Love that Wotnot has something for the whole family, so we can all keep our skin happy and healthy. 💕",06-12-2024,0,,,0,8,3,https://www.instagram.com/p/DDP-HtDvSzS/,
