y,snapshot,event,sitewide,discount
1,20170707111833,Summer/Winter Sale,0,up to 50% off
1,20170707165214,Summer/Winter Sale,0,up to 50% off
1,20170708130727,Summer/Winter Sale,0,up to 50% off
1,20170708213356,Summer/Winter Sale,0,up to 50% off
1,20170709151039,Summer/Winter Sale,0,up to 50% off
1,20181121064634,Blackout,1,up to 70% off
1,20181123161737,Blackout,1,up to 70% off
1,20181123172640,Blackout,1,up to 70% off
1,20181124014052,Blackout,1,up to 70% off
1,20181125022605,Blackout,1,up to 70% off
1,20181126030002,Blackout,1,up to 70% off
1,20181126070452,Blackout,1,up to 70% off
1,20181126202225,Blackout,1,up to 70% off
1,20181127041620,Blackout,1,up to 70% off
1,20190704043745,Summer/Winter Sale,1,25% off
1,20190902150421,Labor Day,0,30% off
1,20191126023211,Black Friday,1,up to 70% off
1,20191127054757,Black Friday,1,up to 50% off
1,20191129084003,Black Friday,1,up to 50% off
1,20191201110405,Black Friday,1,up to 50% off
1,20191202211114,Black Friday,1,up to 50% off
1,20200317074504,,0,up to 30% off
1,20200318110758,Generic Sale,0,up to 30% off
1,20200320053049,Generic Sale,0,up to 30% off
1,20200322070458,Generic Sale,0,up to 30% off
1,20200323082536,Generic Sale,0,up to 30% off
1,20200626092350,Generic Sale,0,up to 50% off
1,20201119092659,Black Friday,1,up to 30% off
1,20201120065026,Black Friday,1,up to 30% off
1,20201121072705,Black Friday,1,up to 30% off
1,20201122080527,Black Friday,1,up to 30% off
1,20201123093959,Black Friday,1,up to 30% off
1,20201123160109,Black Friday,1,up to 30% off
1,20201125110237,Black Friday,1,up to 30% off
1,20201125165307,Black Friday,1,up to 30% off
1,20201126171013,Black Friday,1,up to 30% off
1,20201126172500,Black Friday,1,up to 30% off
1,20201127221834,Black Friday,1,up to 30% off
1,20210615060135,Generic Sale,0,up to 50% off
1,20211118190111,Black Friday,1,up to 70% off
1,20211118190824,Black Friday,1,up to 70% off
1,20211119220618,Black Friday,1,up to 70% off
1,20211121144425,Black Friday,1,up to 70% off
1,20211122122736,Black Friday,1,up to 70% off
1,20211122190924,Black Friday,1,up to 70% off
1,20211123203837,Black Friday,1,up to 70% off
1,20211124004337,Black Friday,1,up to 70% off
1,20211124145448,Black Friday,1,up to 70% off
1,20211125050940,Black Friday,1,up to 70% off
1,20211125120620,Black Friday,1,up to 70% off
1,20211125170921,Black Friday,1,up to 70% off
1,20211126151945,Black Friday,1,up to 70% off
1,20211126194911,Black Friday,1,up to 70% off
1,20211128180020,Black Friday,1,up to 70% off
1,20211129173650,Cyber Monday,1,up to 70% off
1,20220422121411,,0,30% off
1,20220423110647,,0,30% off
1,20220423135512,,0,30% off
1,20220424131000,,0,30% off
1,20220425140046,,0,30% off
1,20220426142630,,0,30% off
1,20220427153843,,0,30% off
1,20220428161545,,0,30% off
1,20220429165122,,0,30% off
1,20220430110413,,0,30% off
1,20220430165901,,0,30% off
1,20220501084454,,0,30% off
1,20220501174315,,0,30% off
1,20220723204455,,0,30% off
1,20220725234205,,0,30% off
1,20220906013847,Labor Day,0,
1,20220906154943,Labor Day,0,
1,20221111175520,Singles Day,1,22% off
1,20221112055314,Singles Day,0,22% off
1,20221119195325,Black Friday,1,up to 60% off
1,20221120045533,Black Friday,1,up to 60% off
1,20221121062618,Black Friday,1,up to 60% off
1,20221121235555,Black Friday,1,up to 60% off
1,20221122064554,Black Friday,1,up to 60% off
1,20221122075600,Black Friday,1,up to 60% off
1,20221122195249,Black Friday,1,up to 60% off
1,20221123004910,Black Friday,1,up to 60% off
1,20221123072913,Black Friday,1,up to 60% off
1,20221123173452,Black Friday,1,up to 60% off
1,20221124062643,Black Friday,1,up to 60% off
1,20221124104456,Black Friday,1,up to 60% off
1,20221124210549,Black Friday,1,up to 60% off
1,20221125102830,Black Friday,1,up to 60% off
1,20221127023618,Black Friday,1,up to 60% off
1,20221128073504,Black Friday,1,up to 60% off
1,20221128124858,Black Friday,1,up to 60% off
1,20221129090701,Cyber Monday,1,20% off
1,20221129152152,Cyber Monday,1,20% off
1,20221129174345,Cyber Monday,1,up to 60% off
1,20221130102142,Cyber Monday,1,up to 60% off
1,20221201114118,Cyber Monday,1,up to 60% off
1,20221201150907,Cyber Monday,1,up to 60% off
1,20221227081852,,0,30% off
1,20221228024307,,0,up to 60% off
1,20221229120050,,0,up to 60% off
1,20221231081659,,0,up to 60% off
1,20230101094203,,0,up to 60% off
1,20230101222712,,0,up to 60% off
1,20230102183755,,0,up to 60% off
1,20230103221759,,0,up to 60% off
1,20230314121435,,1,40% off
1,20230315005919,,1,40% off
1,20230315142932,,1,40% off
1,20230316145840,,1,40% off
1,20230318011003,,1,40% off
1,20230318221937,,1,40% off
1,20230319232229,,1,40% off
1,20230628141230,Generic Sale,0,up to 60% off
1,20230904160644,Flash Sale,1,20% off
1,20231012202225,,0,30% off
1,20231013202755,,0,30% off
1,20231014170243,,0,30% off
1,20231014215925,,0,30% off
1,20231015104337,,0,30% off
1,20231015230431,,0,30% off
1,20231016082715,,0,30% off
1,20231017001650,,0,30% off
1,20231122170051,Black Friday,1,up to 70% off
1,20231123123634,Black Friday,1,up to 70% off
1,20231123145548,Black Friday,1,up to 70% off
1,20231124111051,Black Friday,1,up to 70% off
1,20231125010650,Black Friday,1,up to 70% off
1,20231128172353,Cyber Monday,1,20% off
1,20231129064612,Cyber Monday,1,20% off
1,20231129225358,Cyber Monday,1,60% off
1,20231203052439,Black Friday,1,20% off
1,20231205052017,,0,70% off
1,20231206064103,,0,60% off
1,20231207111055,,0,60% off
1,20231212095951,,0,30% off
1,20231219081210,,0,30% off
1,20231223091440,Summer/Winter Sale,0,up to 60% off
1,20231229183747,Summer/Winter Sale,0,40% off
