brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
gymshark,"Stronger every day 🔥
#Gymshark",08-12-2024,0,N/A,N/A,0,30430,69,https://www.instagram.com/p/DDVBBa3oQ3_/,N/A
gymshark,"@davidlaid is the definition of aesthetics 🔥
#Gymshark",07-12-2024,0,N/A,N/A,0,28720,121,https://www.instagram.com/p/DDSeUpboEHZ/,N/A
gymshark,"Make today count.
P.S. Our Black Friday sale is almost over 👀
Use EXTRA25 for an additional 25% off - 🔗 in bio to shop
#Gymshark",06-12-2024,1,06-12-2024,25%,0,49124,53,https://www.instagram.com/p/DDPjfzbIJuy/,Black Friday
gymshark,"Keep showing up. 

Gymshark’s Black Friday Sale Ends Today! 

Up to 70% off everything

#gymshark",06-12-2024,1,06-12-2024,70%,1,81632,187,https://www.instagram.com/p/DDPpkQQRvcv/,Black Friday
gymshark,"When the fit you had in mind comes together >>>
P.S. use EXTRA25 for an additional 25% off for 24 hours - 🔗 in bio to shop
#Gymshark",05-12-2024,1,05-12-2024,25%,0,22700,104,https://www.instagram.com/p/DDNS143IQTW/,N/A
gymshark,"Consistency creates success.
#Gymshark",05-12-2024,0,N/A,N/A,0,19096,63,https://www.instagram.com/p/DDNB9q8IEaL/,N/A
gymshark,"Consistent work adds up.
P.S. final Black Friday deals now live - 🔗 in bio to shop
#Gymshark",04-12-2024,1,04-12-2024,N/A,0,69161,83,https://www.instagram.com/p/DDKvD7AIYtR/,Black Friday
gymshark,"Your 2024 wrapped: gym edition 💪
#Gymshark",04-12-2024,0,N/A,N/A,0,234001,814,https://www.instagram.com/p/DDKZbLuoD2n/,N/A
gymshark,"Trust the process💙

Gymshark’s Black Friday Sale​
Up to 70% off everything​
​#gymshark",03-12-2024,1,03-12-2024,70%,1,146246,364,https://www.instagram.com/p/DDICwj_R7fD/,Black Friday
gymshark,"Biceps looking crazy 🔥
P.S. final Black Friday deals now live - 🔗 in bio to shop
#Gymshark",03-12-2024,1,03-12-2024,N/A,0,46877,105,https://www.instagram.com/p/DDH1IIFIcfB/,Black Friday
gymshark,"Never miss a monday workout 🫡
#Gymshark",02-12-2024,0,N/A,N/A,0,12805,96,https://www.instagram.com/p/DDFrBnLIRJh/,N/A
gymshark,"It’s gym time.
#Gymshark",02-12-2024,0,N/A,N/A,0,16447,73,https://www.instagram.com/p/DDFPyXEoEOG/,N/A
gymshark,"Aesthetics.
#Gymshark",01-12-2024,0,N/A,N/A,0,26057,75,https://www.instagram.com/p/DDDBajvI6e6/,N/A
gymshark,"You never regret going to the gym 🤝
P.S. use code ‘EXTRA25’ to get an additional 25% off in our Black Friday sale 👀
#Gymshark",01-12-2024,1,01-12-2024,25%,0,28601,56,https://www.instagram.com/p/DDCrSLCo_FP/,Black Friday
gymshark,"When you least want to workout is when you should 🫡
P.S. use code ‘EXTRA25’ to get an additional 25% off in our Black Friday sale 👀
#Gymshark",30-11-2024,1,30-11-2024,25%,0,14398,57,https://www.instagram.com/p/DDAHrI0orMP/,Black Friday
gymshark,all black for black friday 👀🖤 gymshark's sale is still running 🏃🏻‍♀️ get those discounted prices while you can!! up to 70% off site-wide,29-11-2024,1,29-11-2024,70%,0,394214,684,https://www.instagram.com/p/DC9zN1kS2Qq/,Black Friday
gymshark,"There’s now even more reasons to shop our Black Friday sale...
Use code ‘EXTRA25’ at checkout for an additional 25% off 🔥
🔗 in bio to shop
#Gymshark",29-11-2024,1,29-11-2024,25%,0,11167,77,https://www.instagram.com/p/DC9iBS5IlCW/,Black Friday
gymshark,"Backstage at the Olympia, the Gymshark team surprised me with this shirt—whether they knew I was retiring or not, it was a powerful reminder of the confidence those around me have always had in me, even before the win was certain.

For the first time this year, I felt the confidence in myself that others have had in me. A decade of hard work and growth has brought me to a place where I can truly believe in what I’ve built. Grateful, humbled, and ready for what’s next.

Shirt is now live on their website (while supplies last👀). #Gymshark",29-11-2024,0,N/A,N/A,0,946411,938,https://www.instagram.com/p/DC92AfeyDTL/,N/A
gymshark,"Want an extra 25% off in our Black Friday Sale? 👀
Use code ‘EXTRA25’ at checkout - 🔗 in bio to shop
#Gymshark",28-11-2024,1,28-11-2024,25%,0,11136,59,https://www.instagram.com/p/DC7AOyZILH5/,Black Friday
gymshark,"WE IN THE GYM THIS WINTER.
#Gymshark",28-11-2024,0,N/A,N/A,0,26835,71,https://www.instagram.com/p/DC7Rs38ImUL/,N/A
gymshark,"Gym alone or with a training partner - which do you prefer? 👇
#Gymshark",27-11-2024,0,N/A,N/A,0,18391,91,https://www.instagram.com/p/DC4tO1DoOLB/,N/A
gymshark,"Me 🤝 treating myself to new gym fits
P.S. use code ‘Bottoms20’ to get an additional 20% off bottoms in our Black Friday sale 👀
#Gymshark",27-11-2024,1,27-11-2024,20%,0,37488,102,https://www.instagram.com/p/DC4XJnkIIjt/,Black Friday
gymshark,"Motivation after the new gym fit arrives 📈📈📈
P.S. use code ‘Tops20’ to get an additional 20% off tops in our Black Friday sale 👀
#Gymshark",26-11-2024,1,26-11-2024,20%,0,78986,184,https://www.instagram.com/p/DC1zpogoyTb/,Black Friday
gymshark,"Gym is the best way to start your day 🤝
#Gymshark",26-11-2024,0,N/A,N/A,0,17826,97,https://www.instagram.com/p/DC2Isq7o1Nu/,N/A
gymshark,🏴uncover XXL Black Friday deals on @gymshark 🏴,25-11-2024,1,25-11-2024,N/A,0,227756,639,https://www.instagram.com/p/DCzODqbROD2/,Black Friday
gymshark,"Leggings all day, every day >>>
P.S. use code ‘Leggings20’ to get an additional 20% off in our Black Friday sale 👀
#Gymshark",25-11-2024,1,25-11-2024,20%,0,29381,87,https://www.instagram.com/p/DCzQrATItmG/,Black Friday
gymshark,"That first workout after shopping the Gymshark Black Friday sale >>>
🔗 in bio to shop up to 70% off everything
#Gymshark",24-11-2024,1,24-11-2024,70%,1,133217,197,https://www.instagram.com/p/DCwpp_cIHSn/,Black Friday
gymshark,"Go. To. The. Gym.
P.S. 🔗 in bio to shop up to 70% off everything
#Gymshark",24-11-2024,1,24-11-2024,70%,1,22983,76,https://www.instagram.com/p/DCw-n-Do2FL/,N/A
gymshark,"ARE YOU NOT ENTERTAINED?!
My name is Maximus Fleximus Sharkius, commander of the sales of black friday. And I will have my savings, in this life or the next.
At my signal... click the link in bio to shop 🔗
#Gymshark",23-11-2024,0,N/A,N/A,0,64478,211,https://www.instagram.com/p/DCuZFxgo3Xc/,N/A
gymshark,"Our wishlist favourites 🔥
🔗 in bio to shop up to 70% off everything
#Gymshark",22-11-2024,1,22-11-2024,70%,1,53008,91,https://www.instagram.com/p/DCrfRunoYiX/,N/A
gymshark,"Did you spot our fireworks show? 🧨
Get up to 70% off everything in the Gymshark Black Friday sale
🔗 in bio to shop
#Gymshark",21-11-2024,1,21-11-2024,70%,1,13183,127,https://www.instagram.com/p/DCpWTaLo8oJ/,Black Friday
gymshark,"🚨 Gymshark’s Black Friday Sale is now LIVE!
Click the link in bio to shop up to 70% off EVERYTHING 🔗
#Gymshark",21-11-2024,1,21-11-2024,70%,1,29687,434,https://www.instagram.com/p/DCo6tCYIuJI/,Black Friday
gymshark,"Set your alarms... there’s less than 24 hours to go till our Black Friday sale 👀
⏰ November 21st, 4pm GMT | 11am EST | 9am MST | 8pm AEDT
#Gymshark",20-11-2024,1,21-11-2024,N/A,0,73986,177,https://www.instagram.com/p/DCmWo_Ho2Ek/,Black Friday
gymshark,"Life is all about perspective 👀
P.S Less than 24 hours to go till the @gymshark Black Friday Sale 
⏰ Up to 70% off everything. November 21st, 4pm GMT | 11am EST",20-11-2024,1,21-11-2024,70%,1,24476,218,https://www.instagram.com/p/DCmjvtjozoR/,Black Friday
