brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
terratonics,"AN AFTERNOON WITH COMMUNITY: 
A  collective of local makers, food, music and art gather together.
 
A little recap on a beautiful afternoon spent with the community last week, sharing all things Terra Tonics.
 
“The more we localize, the more we bring the economy home, the more we strengthen our connection to each other and the earth.” - @helenanorberghodge 

#Comehometoterra #Community #Terrahealth

Thank you to the wonderful team @tones_________ for organising and bringing us all together. 🌺",10-12-2024,0,N/A,N/A,0,-1,5,https://www.instagram.com/p/DDY-sQvzBaw/,N/A
terratonics,"A Holiday Giveaway - Inspired by intentional selfcare rituals to indulge in this holiday period. 

Here’s an opportunity to treat yourself or a loved one this holiday season. To enter: 

1. Follow @phos.studio.au , @terratonics , and @ver.theritual
2. ⁠Like this post
3. ⁠Comment below and tag a friend, and/or add this post to your story and tag @phos.studio.au (each comment/repost counts as and entry. 

Valued at over $1000, be in to win: 

✨PHOS STUDIO $400 E-Gift Card
✨TERRATONICS Radiance Set Ft. Cellular Hydration, Clean Collagen and Elemental Cleanser
✨VĒR Essential Face Duo (Face Oil 30ml and Kansa Gua Sha) 

1 winner will be announced in the comments of this post on 15th December 2025. Open to customers in New Zealand and Australia ONLY.

Please Note: Beware of scammers. The winner will be announced in the comment section of this post and we will then proceed to get in touch directly via DM. 

Happy Holidays and Happy Tagging!",05-12-2024,0,N/A,N/A,0,-1,173,https://www.instagram.com/p/DDMWC7-zEsm/,N/A
terratonics,"TT Weekly Reflections. 

#Terrahealth",25-11-2024,0,N/A,N/A,0,-1,3,https://www.instagram.com/p/DCyf5HVTQcN/,N/A
terratonics,"Post Flight Terra Tonics Restore + Renew. 

Just two simple and highly effective steps for a glowing nights sleep.

#Terraglow #Livingformulations",21-11-2024,0,N/A,N/A,0,-1,3,https://www.instagram.com/p/DCpfWXOh3ib/,N/A
terratonics,"Our commitment to clean beauty extends beyond your skincare routine. We believe in the power of intention and the importance of living in harmony with nature.

A mantra that inspires us: “Lokah Samastah Sukhino Bhavantu” May all beings everywhere be happy and free.

Let’s cultivate beauty, inside and out.

#Comehometoterra #Livingformulations #Mantra",20-11-2024,0,N/A,N/A,0,-1,9,https://www.instagram.com/p/DClosbsTb0j/,N/A
terratonics,"The Mind-Skin Connection: tapping into the subconscious
 
In our waking state, we often feel like we’re totally in control of our decisions. Yet, how in control are we really?

New article now live. 

Head to the link in our bio to read more.

#Terrahealth",17-11-2024,0,N/A,N/A,0,-1,2,https://www.instagram.com/p/DCdzfCuTTHP/,N/A
terratonics,"CLEAN COLLAGEN: Nature is the key to radiant, healthy skin. Why choose animal-derived ingredients when you can embrace the unparalleled power of nature? 

“There is profound wisdom in the simplicity of herbs, reminding us that nature provides the best remedies.”

Tune into Episode 625 of the @melissaambrosini show, where we explore our journey and discuss why the beauty industry needs to change.

Unlock your skin’s true potential!

#Powerofplants #Crueltyfreeskincare #Comehometoterra 

Voice: Terra Tonics Founder, Bhavna Suri",16-11-2024,0,N/A,N/A,0,-1,2,https://www.instagram.com/p/DCciEZtAypd/,N/A
terratonics,"“Nature stands ready waiting for us to realign with her wisdom. . .” 

- Zach Bush MD 

#Comehometoterra",15-11-2024,0,N/A,N/A,0,-1,3,https://www.instagram.com/p/DCYwnNMv_3W/,N/A
terratonics,"Experience the Terra Glow.

#Comehometoterra",14-11-2024,0,N/A,N/A,0,-1,2,https://www.instagram.com/p/DCWMCy6zRPf/,N/A
terratonics,Come Home to Terra.,13-11-2024,0,N/A,N/A,0,-1,3,https://www.instagram.com/p/DCTW3TAPP_W/,N/A
