brand,caption,post_date,y,sale_date,sale_discount,sitewide,likesCount,commentsCount,url,event
white fox,"🎄DAY 2 OF WHITE FOX CHRISTMAS 🎄

WIN A JACQUMUS BISOU PERLE BAG

HOW TO ENTER: 
🎀 FOLLOW @whitefoxboutique 
🎀 TAG a bestie in the comments 
🎀 COMMENT on our latest posts for an additional entry

Giveaway Ends on Sunday 15th December 2024.

Full T&Cs on website.Per Instagram rules, this is in no way sponsored, administered, or associated with Instagram, Inc. By entering, entrants confirm they are 16+ years of age, release Instagram of responsibility, and agree to Instagram’s term of use. 🚨 Please note this is the only White Fox Instagram account. The winner will be announced on this post on Sunday 15th December 2024. and not via DM. Please be aware of scam accounts sending false giveaway links to ‘Claim’ the prize via DM.",14-12-2024,0,N/A,N/A,0,4553,5937,https://www.instagram.com/p/DDjEg3Mxl1X/,N/A
white fox,A moment for the ‘She’s Shining’ Embellished Mini Dress ✨,14-12-2024,0,N/A,N/A,0,864,128,https://www.instagram.com/p/DDj316_Mu0e/,N/A
white fox,Winter 'fits >>> @madisonwoolley wears the 'Tell Me Nothing' PU jacket black,14-12-2024,0,N/A,N/A,0,1165,276,https://www.instagram.com/p/DDjVnQFxxGE/,N/A
white fox,A White Fox gift card is the ultimate gift this Christmas ❤️🎀 Shop Gift cards online now,14-12-2024,0,N/A,N/A,0,310,51,https://www.instagram.com/p/DDkMdjCt6IU/,N/A
white fox,"On vacay 🌴 Our babe @tarsha.whitmore wearing the ‘Sunset Dreamer’ Knit Maxi Dress in Champagne

Tap to shop (prices in $AU)",14-12-2024,0,N/A,N/A,0,2236,670,https://www.instagram.com/p/DDijfXvz38Y/,N/A
white fox,"Dress code: HOT 🔥 Shop the new 'You Wanna Be Me' Jumpsuit in Black online now

Tap to shop (prices in $AU)",13-12-2024,0,N/A,N/A,0,1078,99,https://www.instagram.com/p/DDgp7JJvLrg/,N/A
white fox,Your party season look = served✨🍸 Shop the 'She's Shining' Embellished mini dress in Blue,13-12-2024,0,N/A,N/A,0,1023,307,https://www.instagram.com/p/DDhTFTJNVFW/,N/A
white fox,"A NEW COLOUR JUST DROPPD IN OUR VIRAL BUSTIER ✨ Shop ‘The Old Days’ Bustier in Lemon online now

Tap to shop (prices in $AU)",13-12-2024,0,N/A,N/A,0,1035,294,https://www.instagram.com/p/DDiPMpLTYme/,N/A
white fox,Our girl @allieauton wearing the 'Over The Line' Long Sleeve Crop in black ☕,13-12-2024,0,N/A,N/A,0,1979,172,https://www.instagram.com/p/DDhFdJ4uO70/,N/A
white fox,"COMP CLOSED ❤️ Congrats to our day 1 winner @lanamatiscsak 

🎄DAY 1 OF WHITE FOX CHRISTMAS 🎄

WIN A CARTIER LOVE RING ✨

We’ve teamed up with our sister @baddestbod to give you the chance to WIN a Cartier Love Ring

HOW TO ENTER: 
 🎀 FOLLOW @whitefoxboutique and @baddestbod 
 🎀 TAG a bestie in the comments 

Giveaway Ends on Saturday 14th December 2024.

Full T&Cs on website.Per Instagram rules, this is in no way sponsored, administered, or associated with Instagram, Inc. By entering, entrants confirm they are 16+ years of age, release Instagram of responsibility, and agree to Instagram’s term of use. 🚨 Please note this is the only White Fox Instagram account. The winner will be announced on this post on Saturday 14th December 2024 and not via DM. Please be aware of scam accounts sending false giveaway links to ‘Claim’ the prize via DM.",13-12-2024,0,N/A,N/A,0,10948,17138,https://www.instagram.com/p/DDgfjRGJUzJ/,N/A
